  
       XFOIL         Version 6.99
  
 Calculated polar for: GOE 803 (HACKLINGER) AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4650   0.02718   0.02324  -0.1444   0.7449   0.0346
  -1.750   0.4937   0.02579   0.02175  -0.1458   0.7340   0.0354
  -1.500   0.5265   0.02432   0.02016  -0.1477   0.7243   0.0372
  -1.250   0.5759   0.02238   0.01772  -0.1511   0.7163   0.0400
  -1.000   0.6065   0.01977   0.01506  -0.1534   0.7075   0.0410
  -0.750   0.6365   0.01871   0.01393  -0.1544   0.6980   0.0421
  -0.500   0.6688   0.01762   0.01264  -0.1554   0.6891   0.0446
  -0.250   0.7049   0.01713   0.01169  -0.1559   0.6795   0.0473
   0.250   0.7743   0.01248   0.00643  -0.1589   0.6617   0.0391
   0.500   0.8052   0.01152   0.00524  -0.1593   0.6519   0.0392
   0.750   0.8345   0.01109   0.00460  -0.1592   0.6416   0.0401
   1.000   0.8630   0.01066   0.00415  -0.1593   0.6303   0.0426
   1.250   0.8913   0.01044   0.00385  -0.1592   0.6180   0.0452
   1.500   0.9198   0.01013   0.00344  -0.1591   0.6050   0.0482
   1.750   0.9476   0.01000   0.00331  -0.1590   0.5907   0.0527
   2.000   0.9752   0.00990   0.00315  -0.1588   0.5738   0.0593
   2.250   1.0021   0.00995   0.00311  -0.1584   0.5517   0.0646
   2.750   1.0550   0.01011   0.00306  -0.1577   0.4962   0.0755
   3.000   1.0813   0.01028   0.00310  -0.1574   0.4652   0.0792
   3.250   1.1068   0.01054   0.00320  -0.1569   0.4258   0.0841
   3.500   1.1312   0.01096   0.00339  -0.1562   0.3808   0.0891
   3.750   1.1558   0.01138   0.00363  -0.1556   0.3445   0.1015
   4.500   1.2291   0.01125   0.00455  -0.1540   0.2914   1.0000
   4.750   1.2547   0.01154   0.00478  -0.1535   0.2818   1.0000
   5.000   1.2799   0.01187   0.00504  -0.1530   0.2733   1.0000
   5.250   1.3056   0.01213   0.00527  -0.1525   0.2657   1.0000
   5.500   1.3305   0.01246   0.00554  -0.1520   0.2580   1.0000
   5.750   1.3562   0.01269   0.00577  -0.1515   0.2515   1.0000
   6.000   1.3809   0.01302   0.00607  -0.1509   0.2456   1.0000
