  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY GS-1 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2527   0.00919   0.00254  -0.1073   0.6787   0.2160
  -1.750   0.2795   0.00912   0.00250  -0.1070   0.6688   0.2336
  -1.500   0.3065   0.00907   0.00248  -0.1067   0.6596   0.2538
  -1.250   0.3334   0.00906   0.00247  -0.1063   0.6507   0.2749
  -1.000   0.3605   0.00904   0.00247  -0.1060   0.6420   0.2948
  -0.750   0.3874   0.00905   0.00247  -0.1057   0.6334   0.3128
  -0.250   0.4414   0.00906   0.00250  -0.1050   0.6170   0.3477
   0.000   0.4685   0.00905   0.00252  -0.1047   0.6089   0.3646
   0.250   0.4953   0.00907   0.00254  -0.1043   0.6009   0.3816
   0.750   0.5488   0.00907   0.00261  -0.1036   0.5851   0.4191
   1.000   0.5755   0.00906   0.00266  -0.1033   0.5776   0.4410
   1.250   0.6019   0.00905   0.00271  -0.1028   0.5695   0.4681
   1.500   0.6281   0.00904   0.00277  -0.1024   0.5620   0.5011
   1.750   0.6539   0.00897   0.00284  -0.1019   0.5540   0.5452
   2.000   0.6786   0.00886   0.00292  -0.1011   0.5465   0.6167
   2.250   0.6964   0.00837   0.00307  -0.0987   0.5388   0.8146
   2.500   0.7532   0.00829   0.00317  -0.1045   0.5297   1.0000
   2.750   0.7783   0.00839   0.00323  -0.1038   0.5215   1.0000
   3.000   0.8032   0.00854   0.00331  -0.1031   0.5142   1.0000
   3.250   0.8286   0.00865   0.00339  -0.1025   0.5064   1.0000
   3.500   0.8534   0.00882   0.00349  -0.1018   0.4990   1.0000
   3.750   0.8789   0.00892   0.00359  -0.1012   0.4911   1.0000
   4.250   0.9292   0.00922   0.00383  -0.0999   0.4764   1.0000
   4.500   0.9538   0.00941   0.00395  -0.0992   0.4688   1.0000
   4.750   0.9791   0.00954   0.00409  -0.0986   0.4613   1.0000
   5.000   1.0032   0.00974   0.00423  -0.0978   0.4529   1.0000
   5.250   1.0279   0.00988   0.00438  -0.0971   0.4437   1.0000
   5.500   1.0513   0.01010   0.00453  -0.0962   0.4344   1.0000
   5.750   1.0754   0.01026   0.00469  -0.0954   0.4242   1.0000
   6.000   1.0990   0.01046   0.00486  -0.0945   0.4151   1.0000
