  
       XFOIL         Version 6.99
  
 Calculated polar for: HUGHES HELICOPTERS HH-02 AIRFOIL                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1920   0.01061   0.00371   0.0124   0.7504   0.0564
  -1.750  -0.1636   0.01011   0.00335   0.0124   0.7465   0.0917
  -1.500  -0.1354   0.00921   0.00308   0.0120   0.7412   0.2510
  -1.250  -0.1087   0.00835   0.00291   0.0119   0.7368   0.4471
  -1.000  -0.0810   0.00804   0.00285   0.0121   0.7316   0.5336
  -0.750  -0.0528   0.00783   0.00275   0.0123   0.7236   0.5832
  -0.500  -0.0247   0.00769   0.00265   0.0125   0.7160   0.6166
  -0.250   0.0039   0.00758   0.00257   0.0126   0.7090   0.6455
   0.000   0.0323   0.00749   0.00250   0.0127   0.7031   0.6728
   0.250   0.0610   0.00737   0.00244   0.0128   0.6959   0.6979
   0.500   0.0893   0.00724   0.00234   0.0129   0.6896   0.7213
   0.750   0.1177   0.00705   0.00225   0.0129   0.6820   0.7484
   1.000   0.1395   0.00637   0.00216   0.0149   0.6751   0.9344
   1.250   0.1914   0.00636   0.00214   0.0099   0.6662   1.0000
   1.500   0.2202   0.00638   0.00211   0.0098   0.6573   1.0000
   1.750   0.2487   0.00641   0.00206   0.0098   0.6484   1.0000
   2.000   0.2775   0.00644   0.00204   0.0097   0.6378   1.0000
   2.250   0.3064   0.00648   0.00204   0.0096   0.6266   1.0000
   2.500   0.3352   0.00653   0.00204   0.0095   0.6150   1.0000
   2.750   0.3641   0.00660   0.00205   0.0094   0.6030   1.0000
   3.000   0.3931   0.00667   0.00208   0.0092   0.5901   1.0000
   3.250   0.4222   0.00675   0.00212   0.0090   0.5754   1.0000
   3.500   0.4514   0.00685   0.00217   0.0087   0.5589   1.0000
   3.750   0.4809   0.00697   0.00223   0.0084   0.5396   1.0000
   4.000   0.5105   0.00711   0.00232   0.0080   0.5164   1.0000
   4.250   0.5404   0.00731   0.00242   0.0075   0.4869   1.0000
   4.500   0.5708   0.00758   0.00255   0.0068   0.4499   1.0000
   4.750   0.6015   0.00794   0.00275   0.0059   0.4073   1.0000
   5.000   0.6323   0.00836   0.00299   0.0048   0.3655   1.0000
   5.250   0.6627   0.00878   0.00326   0.0039   0.3312   1.0000
   5.500   0.6929   0.00919   0.00354   0.0030   0.3011   1.0000
   5.750   0.7227   0.00954   0.00382   0.0023   0.2773   1.0000
   6.000   0.7523   0.00991   0.00410   0.0015   0.2564   1.0000
