  
       XFOIL         Version 6.99
  
 Calculated polar for: HOBIE                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2420   0.00891   0.00240  -0.1035   0.7940   0.0718
  -1.750   0.2689   0.00876   0.00218  -0.1032   0.7824   0.0726
  -1.500   0.2960   0.00863   0.00199  -0.1029   0.7712   0.0738
  -1.250   0.3231   0.00852   0.00183  -0.1026   0.7610   0.0757
  -1.000   0.3502   0.00845   0.00168  -0.1022   0.7509   0.0782
  -0.750   0.3774   0.00836   0.00156  -0.1019   0.7399   0.0823
  -0.500   0.4044   0.00829   0.00147  -0.1016   0.7284   0.0896
  -0.250   0.4310   0.00805   0.00143  -0.1014   0.7177   0.1552
   0.000   0.4577   0.00792   0.00147  -0.1011   0.7067   0.2351
   0.250   0.4846   0.00786   0.00146  -0.1008   0.6947   0.2620
   0.500   0.5111   0.00774   0.00150  -0.1006   0.6818   0.3205
   0.750   0.5376   0.00766   0.00153  -0.1002   0.6677   0.3774
   1.000   0.5636   0.00752   0.00158  -0.0999   0.6520   0.4559
   1.250   0.5869   0.00706   0.00170  -0.0990   0.6360   0.6715
   1.500   0.6198   0.00648   0.00172  -0.0998   0.6183   1.0000
   1.750   0.6460   0.00661   0.00176  -0.0993   0.5987   1.0000
   2.250   0.6969   0.00700   0.00189  -0.0982   0.5495   1.0000
   2.500   0.7224   0.00721   0.00199  -0.0976   0.5266   1.0000
   2.750   0.7480   0.00742   0.00210  -0.0971   0.5056   1.0000
   3.000   0.7740   0.00761   0.00222  -0.0967   0.4886   1.0000
   3.250   0.7999   0.00781   0.00236  -0.0963   0.4727   1.0000
   4.250   0.9029   0.00866   0.00302  -0.0945   0.4151   1.0000
   4.500   0.9284   0.00889   0.00323  -0.0940   0.3999   1.0000
   4.750   0.9540   0.00911   0.00343  -0.0936   0.3814   1.0000
   5.000   0.9779   0.00946   0.00362  -0.0929   0.3374   1.0000
   5.250   0.9994   0.01007   0.00395  -0.0919   0.2787   1.0000
   5.500   1.0199   0.01082   0.00439  -0.0908   0.2279   1.0000
   5.750   1.0426   0.01133   0.00482  -0.0900   0.2098   1.0000
   6.000   1.0662   0.01175   0.00522  -0.0893   0.1933   1.0000
