  
       XFOIL         Version 6.99
  
 Calculated polar for: HOBIESMO1.DAT                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2393   0.00780   0.00181  -0.1027   0.8158   0.2154
  -1.750   0.2663   0.00768   0.00173  -0.1025   0.8064   0.2433
  -1.500   0.2933   0.00759   0.00168  -0.1022   0.7974   0.2727
  -1.250   0.3204   0.00751   0.00163  -0.1019   0.7880   0.3026
  -1.000   0.3473   0.00742   0.00160  -0.1017   0.7778   0.3336
  -0.750   0.3743   0.00735   0.00158  -0.1014   0.7677   0.3650
  -0.500   0.4011   0.00728   0.00155  -0.1011   0.7575   0.3987
  -0.250   0.4278   0.00719   0.00154  -0.1008   0.7470   0.4398
   0.250   0.4786   0.00669   0.00160  -0.0998   0.7238   0.6398
   0.500   0.5142   0.00595   0.00160  -0.1011   0.7117   1.0000
   0.750   0.5409   0.00603   0.00160  -0.1008   0.6989   1.0000
   1.000   0.5675   0.00612   0.00161  -0.1004   0.6857   1.0000
   1.250   0.5941   0.00622   0.00165  -0.1001   0.6720   1.0000
   1.500   0.6207   0.00633   0.00168  -0.0997   0.6580   1.0000
   1.750   0.6471   0.00645   0.00173  -0.0993   0.6437   1.0000
   2.000   0.6734   0.00658   0.00180  -0.0989   0.6292   1.0000
   2.250   0.6998   0.00671   0.00188  -0.0986   0.6146   1.0000
   2.500   0.7262   0.00685   0.00198  -0.0982   0.6000   1.0000
   2.750   0.7525   0.00699   0.00208  -0.0978   0.5854   1.0000
   3.000   0.7787   0.00715   0.00221  -0.0974   0.5707   1.0000
   3.250   0.8047   0.00732   0.00234  -0.0970   0.5552   1.0000
   3.500   0.8299   0.00753   0.00247  -0.0965   0.5325   1.0000
   4.000   0.8803   0.00797   0.00280  -0.0954   0.4877   1.0000
   4.250   0.9049   0.00823   0.00299  -0.0947   0.4603   1.0000
   4.500   0.9280   0.00862   0.00320  -0.0939   0.4180   1.0000
   4.750   0.9502   0.00913   0.00348  -0.0929   0.3652   1.0000
   5.000   0.9672   0.01018   0.00399  -0.0913   0.2597   1.0000
   5.250   0.9700   0.01293   0.00549  -0.0878   0.0360   1.0000
   5.500   0.9920   0.01361   0.00620  -0.0867   0.0252   1.0000
   5.750   1.0124   0.01444   0.00711  -0.0854   0.0205   1.0000
   6.000   1.0332   0.01518   0.00793  -0.0841   0.0184   1.0000
