  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 0/10 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2185   0.00646   0.00189  -0.0021   0.8411   0.6772
  -1.750  -0.1916   0.00646   0.00188  -0.0017   0.8310   0.6957
  -1.500  -0.1644   0.00646   0.00185  -0.0014   0.8217   0.7080
  -1.000  -0.1097   0.00643   0.00179  -0.0009   0.8036   0.7275
  -0.750  -0.0822   0.00643   0.00178  -0.0007   0.7952   0.7378
  -0.500  -0.0547   0.00644   0.00176  -0.0005   0.7874   0.7480
  -0.250  -0.0273   0.00643   0.00175  -0.0003   0.7773   0.7570
   0.000  -0.0000   0.00642   0.00175   0.0000   0.7666   0.7666
   0.250   0.0272   0.00643   0.00175   0.0003   0.7570   0.7774
   0.500   0.0547   0.00644   0.00176   0.0005   0.7481   0.7874
   0.750   0.0822   0.00643   0.00178   0.0007   0.7379   0.7952
   1.000   0.1096   0.00643   0.00179   0.0009   0.7275   0.8036
   1.750   0.1916   0.00646   0.00188   0.0017   0.6957   0.8310
   2.000   0.2184   0.00646   0.00189   0.0021   0.6772   0.8410
   2.250   0.2451   0.00647   0.00191   0.0025   0.6574   0.8511
   2.500   0.2715   0.00648   0.00194   0.0030   0.6352   0.8614
   2.750   0.2973   0.00652   0.00197   0.0036   0.6061   0.8739
   3.000   0.3223   0.00661   0.00202   0.0044   0.5665   0.8879
   3.250   0.3466   0.00679   0.00210   0.0053   0.5164   0.9029
   3.500   0.3700   0.00710   0.00223   0.0062   0.4546   0.9192
   3.750   0.3943   0.00750   0.00241   0.0069   0.3830   0.9366
   4.000   0.4210   0.00811   0.00266   0.0068   0.2909   0.9537
   4.250   0.4540   0.00857   0.00294   0.0054   0.2394   0.9665
   4.500   0.4899   0.00902   0.00322   0.0033   0.1915   0.9762
   4.750   0.5249   0.00974   0.00356   0.0012   0.1114   0.9854
   5.000   0.5610   0.01033   0.00398  -0.0010   0.0767   0.9935
   5.250   0.5956   0.01087   0.00445  -0.0029   0.0558   1.0000
   5.500   0.6148   0.01135   0.00488  -0.0015   0.0457   1.0000
   5.750   0.6366   0.01174   0.00527  -0.0004   0.0401   1.0000
   6.000   0.6569   0.01249   0.00604   0.0008   0.0355   1.0000
