  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 0/7 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2444   0.00548   0.00149   0.0029   0.9899   0.6981
  -1.750  -0.2055   0.00536   0.00142   0.0006   0.9820   0.7356
  -1.500  -0.1694   0.00527   0.00141  -0.0011   0.9710   0.7664
  -1.250  -0.1347   0.00521   0.00140  -0.0024   0.9584   0.7909
  -1.000  -0.1031   0.00517   0.00136  -0.0030   0.9419   0.8058
  -0.750  -0.0754   0.00515   0.00134  -0.0027   0.9235   0.8207
  -0.500  -0.0496   0.00513   0.00132  -0.0019   0.9053   0.8360
  -0.250  -0.0245   0.00512   0.00130  -0.0011   0.8875   0.8517
   0.000   0.0000   0.00512   0.00129  -0.0000   0.8696   0.8696
   0.250   0.0245   0.00512   0.00130   0.0011   0.8516   0.8875
   0.500   0.0496   0.00513   0.00132   0.0019   0.8358   0.9052
   0.750   0.0754   0.00515   0.00134   0.0027   0.8207   0.9234
   1.000   0.1032   0.00517   0.00136   0.0030   0.8059   0.9422
   1.250   0.1348   0.00521   0.00140   0.0023   0.7908   0.9586
   1.500   0.1695   0.00527   0.00141   0.0010   0.7661   0.9711
   1.750   0.2056   0.00536   0.00142  -0.0006   0.7354   0.9820
   2.000   0.2446   0.00548   0.00149  -0.0030   0.6982   0.9901
   2.250   0.2830   0.00565   0.00151  -0.0053   0.6432   0.9988
   2.500   0.3063   0.00594   0.00151  -0.0045   0.5572   1.0000
   2.750   0.3272   0.00644   0.00160  -0.0034   0.4499   1.0000
   3.000   0.3482   0.00720   0.00180  -0.0026   0.3052   1.0000
   3.250   0.3705   0.00789   0.00206  -0.0019   0.2013   1.0000
   3.500   0.3920   0.00886   0.00240  -0.0013   0.0652   1.0000
   3.750   0.4166   0.00928   0.00270  -0.0009   0.0356   1.0000
   4.000   0.4421   0.00960   0.00303  -0.0005   0.0263   1.0000
   4.250   0.4675   0.00998   0.00342  -0.0000   0.0160   1.0000
   4.500   0.4919   0.01091   0.00448   0.0008   0.0076   1.0000
   4.750   0.5160   0.01187   0.00559   0.0017   0.0068   1.0000
   5.000   0.5393   0.01318   0.00708   0.0027   0.0065   1.0000
   5.250   0.5624   0.01493   0.00904   0.0038   0.0065   1.0000
   5.500   0.5856   0.01721   0.01161   0.0049   0.0067   1.0000
   5.750   0.6080   0.02028   0.01508   0.0062   0.0071   1.0000
   6.000   0.6271   0.02451   0.01985   0.0076   0.0076   1.0000
