  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 1.5/8.5 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0091   0.00624   0.00184  -0.0500   0.8778   0.6264
  -1.750   0.0167   0.00615   0.00185  -0.0493   0.8688   0.6749
  -1.250   0.0695   0.00613   0.00182  -0.0482   0.8509   0.7270
  -1.000   0.0964   0.00614   0.00180  -0.0478   0.8418   0.7444
  -0.750   0.1229   0.00614   0.00178  -0.0472   0.8323   0.7603
  -0.500   0.1496   0.00616   0.00175  -0.0467   0.8223   0.7730
  -0.250   0.1766   0.00615   0.00173  -0.0463   0.8123   0.7846
   0.000   0.2037   0.00615   0.00172  -0.0460   0.8035   0.7963
   0.250   0.2306   0.00615   0.00171  -0.0456   0.7958   0.8094
   0.500   0.2572   0.00610   0.00171  -0.0452   0.7870   0.8236
   0.750   0.2839   0.00607   0.00172  -0.0447   0.7789   0.8370
   1.000   0.3102   0.00604   0.00172  -0.0442   0.7705   0.8515
   1.250   0.3362   0.00598   0.00173  -0.0436   0.7602   0.8686
   1.500   0.3620   0.00592   0.00174  -0.0429   0.7499   0.8879
   1.750   0.3876   0.00586   0.00175  -0.0422   0.7381   0.9103
   2.000   0.4158   0.00579   0.00172  -0.0419   0.7206   0.9403
   2.500   0.4844   0.00594   0.00163  -0.0446   0.6401   1.0000
   2.750   0.5104   0.00615   0.00168  -0.0443   0.6020   1.0000
   3.000   0.5360   0.00642   0.00177  -0.0439   0.5548   1.0000
   3.250   0.5603   0.00683   0.00191  -0.0433   0.4852   1.0000
   3.500   0.5845   0.00732   0.00212  -0.0428   0.4189   1.0000
   3.750   0.6085   0.00787   0.00236  -0.0424   0.3489   1.0000
   4.000   0.6333   0.00834   0.00261  -0.0420   0.2981   1.0000
   4.250   0.6585   0.00878   0.00286  -0.0417   0.2536   1.0000
   4.500   0.6835   0.00923   0.00315  -0.0414   0.2112   1.0000
   4.750   0.7078   0.00981   0.00347  -0.0410   0.1531   1.0000
   5.000   0.7292   0.01082   0.00402  -0.0403   0.0695   1.0000
   5.250   0.7537   0.01140   0.00449  -0.0399   0.0526   1.0000
   5.500   0.7791   0.01181   0.00489  -0.0395   0.0467   1.0000
   5.750   0.8037   0.01235   0.00544  -0.0391   0.0420   1.0000
   6.000   0.8295   0.01268   0.00587  -0.0388   0.0406   1.0000
