  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ-2.0/9  9.0%   smoothed                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0628   0.00630   0.00189  -0.0644   0.8741   0.6241
  -1.750   0.0895   0.00626   0.00186  -0.0639   0.8659   0.6569
  -1.500   0.1163   0.00624   0.00186  -0.0635   0.8574   0.6850
  -1.250   0.1435   0.00624   0.00182  -0.0632   0.8501   0.7048
  -1.000   0.1705   0.00623   0.00181  -0.0628   0.8416   0.7224
  -0.750   0.1972   0.00623   0.00181  -0.0623   0.8325   0.7442
  -0.500   0.2231   0.00621   0.00181  -0.0616   0.8226   0.7678
  -0.250   0.2493   0.00620   0.00179  -0.0610   0.8121   0.7854
   0.000   0.2764   0.00618   0.00176  -0.0607   0.8017   0.7965
   0.250   0.3035   0.00616   0.00175  -0.0604   0.7927   0.8068
   0.500   0.3305   0.00615   0.00173  -0.0601   0.7842   0.8176
   0.750   0.3573   0.00613   0.00172  -0.0598   0.7739   0.8293
   1.000   0.3839   0.00611   0.00172  -0.0594   0.7623   0.8420
   1.250   0.4102   0.00609   0.00173  -0.0589   0.7507   0.8565
   1.500   0.4363   0.00606   0.00174  -0.0583   0.7393   0.8740
   1.750   0.4616   0.00602   0.00175  -0.0576   0.7276   0.8966
   2.000   0.4878   0.00597   0.00177  -0.0570   0.7150   0.9311
   2.250   0.5272   0.00595   0.00177  -0.0594   0.7000   0.9812
   2.500   0.5575   0.00603   0.00180  -0.0600   0.6836   1.0000
   2.750   0.5845   0.00614   0.00186  -0.0599   0.6655   1.0000
   3.000   0.6112   0.00626   0.00192  -0.0596   0.6413   1.0000
   3.250   0.6370   0.00644   0.00199  -0.0592   0.6060   1.0000
   3.500   0.6619   0.00672   0.00210  -0.0586   0.5606   1.0000
   3.750   0.6861   0.00709   0.00225  -0.0580   0.5076   1.0000
   4.000   0.7097   0.00755   0.00246  -0.0573   0.4488   1.0000
   4.250   0.7332   0.00805   0.00272  -0.0567   0.3908   1.0000
   4.500   0.7571   0.00855   0.00299  -0.0562   0.3375   1.0000
   4.750   0.7812   0.00902   0.00329  -0.0558   0.2942   1.0000
   5.000   0.8058   0.00946   0.00359  -0.0553   0.2591   1.0000
   5.250   0.8303   0.00990   0.00391  -0.0549   0.2268   1.0000
   5.500   0.8545   0.01038   0.00424  -0.0545   0.1899   1.0000
   6.000   0.9001   0.01166   0.00511  -0.0533   0.1014   1.0000
