  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 3.5/18 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2493   0.00893   0.00333  -0.0998   0.6999   0.5481
  -1.750   0.2778   0.00894   0.00331  -0.0999   0.6960   0.5580
  -1.500   0.3065   0.00895   0.00330  -0.1000   0.6921   0.5666
  -1.250   0.3349   0.00899   0.00332  -0.1000   0.6881   0.5759
  -1.000   0.3626   0.00898   0.00335  -0.0999   0.6837   0.5838
  -0.750   0.3911   0.00900   0.00335  -0.1000   0.6796   0.5906
  -0.500   0.4199   0.00902   0.00334  -0.1001   0.6758   0.5965
  -0.250   0.4483   0.00906   0.00339  -0.1002   0.6719   0.6029
   0.000   0.4761   0.00909   0.00341  -0.1001   0.6673   0.6102
   0.250   0.5039   0.00909   0.00344  -0.1001   0.6626   0.6164
   0.500   0.5326   0.00913   0.00344  -0.1002   0.6579   0.6221
   1.000   0.5872   0.00914   0.00348  -0.0999   0.6464   0.6321
   1.250   0.6153   0.00918   0.00348  -0.0999   0.6409   0.6373
   1.500   0.6423   0.00920   0.00352  -0.0997   0.6348   0.6429
   1.750   0.6693   0.00920   0.00355  -0.0995   0.6285   0.6477
   2.000   0.6964   0.00925   0.00358  -0.0994   0.6220   0.6533
   2.250   0.7225   0.00928   0.00362  -0.0990   0.6130   0.6601
   2.500   0.7483   0.00931   0.00366  -0.0985   0.6042   0.6663
   2.750   0.7737   0.00937   0.00372  -0.0980   0.5940   0.6738
   3.000   0.7987   0.00943   0.00378  -0.0975   0.5831   0.6808
   3.250   0.8229   0.00951   0.00385  -0.0968   0.5712   0.6869
   3.500   0.8466   0.00963   0.00391  -0.0960   0.5577   0.6938
   3.750   0.8689   0.00973   0.00401  -0.0949   0.5419   0.6995
   4.000   0.8906   0.00989   0.00413  -0.0938   0.5259   0.7061
   4.250   0.9116   0.01008   0.00426  -0.0925   0.5100   0.7131
   4.500   0.9309   0.01029   0.00444  -0.0909   0.4943   0.7196
   4.750   0.9496   0.01056   0.00463  -0.0893   0.4801   0.7268
   5.000   0.9679   0.01079   0.00483  -0.0876   0.4667   0.7330
   5.250   0.9855   0.01102   0.00505  -0.0857   0.4550   0.7394
   5.750   1.0175   0.01150   0.00550  -0.0815   0.4342   0.7520
   6.000   1.0342   0.01177   0.00576  -0.0795   0.4242   0.7586
