  
       XFOIL         Version 6.99
  
 Calculated polar for: HQ 3.5/9 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2706   0.00841   0.00236  -0.1085   0.8653   0.0717
  -1.750   0.2975   0.00808   0.00215  -0.1084   0.8568   0.1298
  -1.500   0.3226   0.00696   0.00196  -0.1086   0.8482   0.4595
  -1.250   0.3485   0.00666   0.00196  -0.1082   0.8392   0.5774
  -1.000   0.3752   0.00656   0.00196  -0.1078   0.8320   0.6398
  -0.750   0.4017   0.00650   0.00196  -0.1073   0.8240   0.6880
  -0.500   0.4272   0.00645   0.00202  -0.1065   0.8155   0.7377
  -0.250   0.4535   0.00643   0.00201  -0.1059   0.8073   0.7657
   0.000   0.4795   0.00640   0.00200  -0.1053   0.7984   0.7895
   0.250   0.5062   0.00637   0.00196  -0.1050   0.7887   0.8035
   0.500   0.5330   0.00635   0.00192  -0.1046   0.7789   0.8161
   0.750   0.5598   0.00633   0.00188  -0.1043   0.7699   0.8302
   1.000   0.5861   0.00630   0.00188  -0.1039   0.7600   0.8467
   1.250   0.6116   0.00624   0.00187  -0.1033   0.7495   0.8685
   1.500   0.6360   0.00611   0.00184  -0.1023   0.7385   0.9128
   1.750   0.6711   0.00609   0.00182  -0.1039   0.7267   1.0000
   2.000   0.6988   0.00618   0.00186  -0.1039   0.7137   1.0000
   2.250   0.7262   0.00627   0.00190  -0.1038   0.6995   1.0000
   2.500   0.7532   0.00639   0.00195  -0.1037   0.6842   1.0000
   3.000   0.8062   0.00666   0.00211  -0.1031   0.6475   1.0000
   3.250   0.8320   0.00684   0.00221  -0.1028   0.6244   1.0000
   3.500   0.8572   0.00705   0.00232  -0.1023   0.5956   1.0000
   3.750   0.8814   0.00734   0.00247  -0.1016   0.5595   1.0000
   4.000   0.9048   0.00770   0.00265  -0.1008   0.5173   1.0000
   4.250   0.9272   0.00815   0.00291  -0.0999   0.4696   1.0000
   4.500   0.9493   0.00866   0.00321  -0.0990   0.4217   1.0000
   4.750   0.9713   0.00920   0.00353  -0.0981   0.3741   1.0000
   5.000   0.9929   0.00978   0.00387  -0.0972   0.3250   1.0000
   5.250   1.0149   0.01034   0.00424  -0.0964   0.2876   1.0000
   5.500   1.0380   0.01080   0.00459  -0.0958   0.2629   1.0000
   5.750   1.0617   0.01119   0.00491  -0.0952   0.2428   1.0000
   6.000   1.0856   0.01157   0.00523  -0.0947   0.2245   1.0000
