  
       XFOIL         Version 6.99
  
 Calculated polar for: HSNLF(1)-0213 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1266   0.01012   0.00550  -0.0096   0.7583   0.7642
  -1.750  -0.0987   0.01037   0.00578  -0.0093   0.7568   0.7758
  -1.500  -0.0727   0.01073   0.00622  -0.0083   0.7550   0.7911
  -1.250  -0.0476   0.01106   0.00660  -0.0070   0.7533   0.8054
  -1.000  -0.0231   0.01134   0.00692  -0.0056   0.7516   0.8186
  -0.750   0.0041   0.01145   0.00702  -0.0052   0.7498   0.8250
  -0.500   0.0338   0.01146   0.00697  -0.0058   0.7482   0.8277
  -0.250   0.0618   0.01137   0.00684  -0.0059   0.7466   0.8297
   0.000   0.0898   0.01135   0.00680  -0.0060   0.7451   0.8314
   0.250   0.1188   0.01132   0.00678  -0.0064   0.7426   0.8327
   0.500   0.1481   0.01126   0.00672  -0.0069   0.7394   0.8337
   0.750   0.1773   0.01118   0.00662  -0.0073   0.7364   0.8347
   1.000   0.2065   0.01107   0.00649  -0.0077   0.7337   0.8355
   1.250   0.2357   0.01098   0.00636  -0.0081   0.7314   0.8362
   1.500   0.2651   0.01093   0.00631  -0.0086   0.7281   0.8370
   1.750   0.2946   0.01081   0.00621  -0.0091   0.7235   0.8375
   2.000   0.3241   0.01062   0.00599  -0.0095   0.7193   0.8378
   2.250   0.3534   0.01046   0.00577  -0.0097   0.7157   0.8382
   2.500   0.3828   0.01025   0.00561  -0.0102   0.7084   0.8388
   2.750   0.4122   0.00999   0.00530  -0.0104   0.7026   0.8393
   3.000   0.4417   0.00983   0.00518  -0.0108   0.6959   0.8395
   3.250   0.4712   0.00960   0.00494  -0.0111   0.6890   0.8397
   3.500   0.5006   0.00939   0.00476  -0.0115   0.6790   0.8399
   3.750   0.5301   0.00923   0.00461  -0.0119   0.6707   0.8401
   4.000   0.5594   0.00908   0.00448  -0.0123   0.6594   0.8406
   4.250   0.5887   0.00894   0.00438  -0.0126   0.6400   0.8409
   4.500   0.6173   0.00885   0.00424  -0.0129   0.6068   0.8410
   4.750   0.6427   0.00912   0.00418  -0.0127   0.5322   0.8411
   5.000   0.6642   0.01002   0.00458  -0.0123   0.4288   0.8413
   5.250   0.6853   0.01096   0.00508  -0.0121   0.3343   0.8415
   5.500   0.7065   0.01186   0.00557  -0.0119   0.2516   0.8416
   5.750   0.7282   0.01266   0.00603  -0.0117   0.1878   0.8420
   6.000   0.7506   0.01334   0.00648  -0.0116   0.1407   0.8423
