  
       XFOIL         Version 6.99
  
 Calculated polar for: I.S.A. 960                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3434   0.01250   0.00309  -0.0920   0.1203   0.1242
  -1.750   0.3710   0.01249   0.00311  -0.0919   0.1201   0.1321
  -1.500   0.3986   0.01251   0.00313  -0.0919   0.1200   0.1431
  -1.250   0.4261   0.01253   0.00316  -0.0918   0.1199   0.1562
  -1.000   0.4535   0.01254   0.00320  -0.0917   0.1198   0.1709
  -0.750   0.4808   0.01256   0.00325  -0.0917   0.1197   0.1860
  -0.500   0.5081   0.01259   0.00332  -0.0916   0.1196   0.2025
  -0.250   0.5353   0.01260   0.00342  -0.0915   0.1195   0.2318
   0.000   0.5623   0.01254   0.00354  -0.0915   0.1195   0.3022
   0.250   0.5826   0.01132   0.00376  -0.0905   0.1194   0.8035
   0.500   0.6136   0.01117   0.00386  -0.0909   0.1194   1.0000
   0.750   0.6403   0.01136   0.00399  -0.0907   0.1193   1.0000
   1.000   0.6668   0.01155   0.00414  -0.0905   0.1193   1.0000
   1.250   0.6933   0.01176   0.00430  -0.0902   0.1193   1.0000
   1.500   0.7196   0.01198   0.00448  -0.0900   0.1193   1.0000
   1.750   0.7457   0.01221   0.00467  -0.0898   0.1193   1.0000
   2.000   0.7717   0.01244   0.00488  -0.0895   0.1194   1.0000
   2.250   0.7976   0.01269   0.00510  -0.0893   0.1194   1.0000
   2.500   0.8233   0.01295   0.00534  -0.0890   0.1195   1.0000
   2.750   0.8488   0.01322   0.00559  -0.0887   0.1195   1.0000
   3.000   0.8741   0.01350   0.00587  -0.0883   0.1196   1.0000
   3.250   0.8992   0.01380   0.00615  -0.0880   0.1197   1.0000
   3.500   0.9241   0.01410   0.00645  -0.0876   0.1197   1.0000
   3.750   0.9490   0.01440   0.00676  -0.0872   0.1193   1.0000
   4.000   0.9735   0.01472   0.00708  -0.0868   0.1187   1.0000
   4.250   0.9979   0.01506   0.00742  -0.0864   0.1185   1.0000
   4.500   1.0221   0.01540   0.00778  -0.0859   0.1185   1.0000
   4.750   1.0461   0.01575   0.00814  -0.0854   0.1186   1.0000
   5.000   1.0699   0.01611   0.00852  -0.0849   0.1186   1.0000
   5.250   1.0935   0.01649   0.00891  -0.0844   0.1186   1.0000
   5.500   1.1167   0.01689   0.00934  -0.0838   0.1177   1.0000
   5.750   1.1385   0.01744   0.00990  -0.0831   0.1152   1.0000
   6.000   1.1587   0.01824   0.01066  -0.0822   0.1128   1.0000
