  
       XFOIL         Version 6.99
  
 Calculated polar for: J5012   12%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2148   0.00676   0.00245  -0.0041   0.9198   0.6721
  -1.750  -0.1867   0.00661   0.00236  -0.0039   0.9116   0.6973
  -1.500  -0.1589   0.00647   0.00228  -0.0036   0.9026   0.7207
  -1.250  -0.1333   0.00637   0.00223  -0.0029   0.8918   0.7421
  -1.000  -0.1062   0.00629   0.00218  -0.0024   0.8812   0.7620
  -0.750  -0.0789   0.00622   0.00213  -0.0020   0.8702   0.7806
  -0.500  -0.0525   0.00618   0.00210  -0.0013   0.8576   0.7980
  -0.250  -0.0264   0.00615   0.00209  -0.0006   0.8439   0.8142
   0.000  -0.0000   0.00614   0.00208   0.0000   0.8295   0.8295
   0.250   0.0264   0.00615   0.00209   0.0006   0.8143   0.8439
   0.500   0.0525   0.00618   0.00210   0.0013   0.7982   0.8576
   0.750   0.0789   0.00622   0.00213   0.0019   0.7807   0.8701
   1.000   0.1062   0.00629   0.00218   0.0024   0.7620   0.8812
   1.250   0.1332   0.00637   0.00222   0.0029   0.7421   0.8917
   1.500   0.1589   0.00647   0.00227   0.0036   0.7207   0.9025
   1.750   0.1866   0.00661   0.00235   0.0039   0.6970   0.9116
   2.000   0.2148   0.00676   0.00244   0.0041   0.6721   0.9197
   2.250   0.2402   0.00693   0.00253   0.0049   0.6459   0.9291
   2.750   0.3011   0.00738   0.00279   0.0042   0.5830   0.9406
   3.000   0.3301   0.00764   0.00293   0.0040   0.5473   0.9465
   3.250   0.3645   0.00796   0.00310   0.0026   0.5060   0.9497
   3.500   0.3977   0.00828   0.00328   0.0015   0.4654   0.9537
   3.750   0.4259   0.00859   0.00345   0.0014   0.4253   0.9593
   4.000   0.4624   0.00900   0.00367  -0.0006   0.3769   0.9613
   4.250   0.4970   0.00942   0.00389  -0.0023   0.3274   0.9640
   4.500   0.5276   0.00986   0.00413  -0.0031   0.2791   0.9684
   4.750   0.5571   0.01028   0.00437  -0.0037   0.2366   0.9729
   5.000   0.5918   0.01077   0.00464  -0.0056   0.1900   0.9752
   5.250   0.6248   0.01125   0.00493  -0.0070   0.1508   0.9783
   5.500   0.6539   0.01170   0.00524  -0.0076   0.1222   0.9830
   5.750   0.6878   0.01213   0.00555  -0.0092   0.0987   0.9855
   6.000   0.7222   0.01257   0.00589  -0.0110   0.0810   0.9880
