  
       XFOIL         Version 6.99
  
 Calculated polar for: JN-153 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6184   0.02158   0.01443  -0.1493   0.4914   0.0213
  -1.750   0.6479   0.02115   0.01388  -0.1495   0.4906   0.0215
  -1.500   0.6772   0.02058   0.01330  -0.1498   0.4898   0.0222
  -1.250   0.7064   0.02035   0.01305  -0.1501   0.4891   0.0230
  -1.000   0.7358   0.02016   0.01283  -0.1504   0.4883   0.0238
  -0.750   0.7653   0.02005   0.01267  -0.1507   0.4876   0.0253
  -0.500   0.7943   0.02008   0.01270  -0.1510   0.4867   0.0274
  -0.250   0.8220   0.02045   0.01306  -0.1513   0.4857   0.0293
   0.000   0.8496   0.02053   0.01319  -0.1513   0.4846   0.0329
   0.250   0.8781   0.02038   0.01311  -0.1515   0.4835   0.0436
   0.500   0.9089   0.01971   0.01325  -0.1529   0.4823   0.3067
   0.750   0.9372   0.01965   0.01352  -0.1533   0.4809   0.4327
   1.000   0.9653   0.01966   0.01375  -0.1536   0.4796   0.5162
   1.250   0.9934   0.01967   0.01398  -0.1538   0.4784   0.5998
   1.500   1.0208   0.01956   0.01417  -0.1537   0.4774   0.7170
   1.750   1.0344   0.01917   0.01422  -0.1503   0.4765   0.9094
   2.000   1.0631   0.01914   0.01414  -0.1504   0.4755   1.0000
   2.250   1.0927   0.01926   0.01417  -0.1508   0.4747   1.0000
   2.500   1.1221   0.01940   0.01424  -0.1511   0.4739   1.0000
   2.750   1.1514   0.01958   0.01434  -0.1515   0.4731   1.0000
   3.000   1.1805   0.01982   0.01451  -0.1519   0.4723   1.0000
   3.250   1.2080   0.02039   0.01501  -0.1521   0.4712   1.0000
   3.500   1.2322   0.02071   0.01538  -0.1518   0.4696   1.0000
   3.750   1.2566   0.02097   0.01569  -0.1515   0.4677   1.0000
   4.000   1.2823   0.02124   0.01598  -0.1514   0.4660   1.0000
   4.250   1.3092   0.02144   0.01618  -0.1514   0.4646   1.0000
   4.500   1.3370   0.02158   0.01629  -0.1516   0.4634   1.0000
   4.750   1.3655   0.02164   0.01632  -0.1519   0.4624   1.0000
   5.000   1.3946   0.02166   0.01630  -0.1522   0.4614   1.0000
   5.250   1.4240   0.02164   0.01624  -0.1526   0.4605   1.0000
   5.500   1.4537   0.02163   0.01619  -0.1530   0.4597   1.0000
   5.750   1.4831   0.02168   0.01620  -0.1535   0.4589   1.0000
   6.000   1.5119   0.02186   0.01633  -0.1538   0.4581   1.0000
