  
       XFOIL         Version 6.99
  
 Calculated polar for: K3311  (original)                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1705   0.00949   0.00252  -0.0808   0.7486   0.0392
  -1.750   0.1968   0.00933   0.00229  -0.0804   0.7390   0.0404
  -1.500   0.2232   0.00922   0.00211  -0.0800   0.7287   0.0429
  -1.250   0.2496   0.00912   0.00196  -0.0796   0.7174   0.0456
  -1.000   0.2758   0.00899   0.00184  -0.0791   0.7057   0.0574
  -0.750   0.2977   0.00814   0.00170  -0.0784   0.6952   0.2956
  -0.250   0.3435   0.00735   0.00176  -0.0766   0.6771   0.5989
   0.000   0.3678   0.00721   0.00180  -0.0758   0.6682   0.6637
   0.250   0.3915   0.00710   0.00184  -0.0748   0.6598   0.7301
   0.500   0.4137   0.00689   0.00191  -0.0734   0.6508   0.8173
   0.750   0.4792   0.00668   0.00196  -0.0812   0.6411   0.9668
   1.000   0.5286   0.00677   0.00197  -0.0860   0.6313   1.0000
   1.250   0.5531   0.00683   0.00198  -0.0853   0.6217   1.0000
   1.500   0.5778   0.00689   0.00200  -0.0847   0.6110   1.0000
   1.750   0.6024   0.00696   0.00201  -0.0840   0.5993   1.0000
   2.000   0.6269   0.00704   0.00203  -0.0832   0.5878   1.0000
   2.250   0.6514   0.00715   0.00207  -0.0826   0.5780   1.0000
   2.500   0.6763   0.00726   0.00214  -0.0819   0.5680   1.0000
   2.750   0.7012   0.00738   0.00222  -0.0813   0.5586   1.0000
   3.000   0.7259   0.00752   0.00231  -0.0807   0.5498   1.0000
   3.250   0.7511   0.00765   0.00242  -0.0801   0.5409   1.0000
   3.500   0.7761   0.00778   0.00253  -0.0795   0.5312   1.0000
   3.750   0.8006   0.00794   0.00265  -0.0789   0.5201   1.0000
   4.000   0.8254   0.00809   0.00277  -0.0783   0.5096   1.0000
   4.250   0.8506   0.00822   0.00291  -0.0777   0.5000   1.0000
   4.500   0.8754   0.00837   0.00305  -0.0772   0.4897   1.0000
   4.750   0.8999   0.00855   0.00320  -0.0765   0.4786   1.0000
   5.250   0.9491   0.00887   0.00353  -0.0753   0.4547   1.0000
   5.500   0.9737   0.00904   0.00370  -0.0747   0.4420   1.0000
   5.750   0.9974   0.00924   0.00388  -0.0739   0.4254   1.0000
   6.000   1.0206   0.00947   0.00407  -0.0731   0.4016   1.0000
