  
       XFOIL         Version 6.99
  
 Calculated polar for: KC-135 BL52.44 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0741   0.00857   0.00276  -0.0177   0.6614   0.5890
  -1.750  -0.0473   0.00862   0.00275  -0.0174   0.6564   0.6007
  -1.500  -0.0200   0.00865   0.00276  -0.0172   0.6515   0.6089
  -1.250   0.0069   0.00864   0.00275  -0.0169   0.6460   0.6185
  -1.000   0.0338   0.00866   0.00276  -0.0167   0.6409   0.6281
  -0.750   0.0613   0.00869   0.00274  -0.0165   0.6361   0.6351
  -0.500   0.0889   0.00864   0.00272  -0.0164   0.6305   0.6402
  -0.250   0.1166   0.00864   0.00268  -0.0164   0.6252   0.6451
   0.000   0.1446   0.00867   0.00265  -0.0164   0.6205   0.6500
   0.250   0.1721   0.00861   0.00265  -0.0163   0.6153   0.6549
   0.500   0.1998   0.00861   0.00264  -0.0163   0.6103   0.6603
   1.000   0.2547   0.00859   0.00262  -0.0161   0.5990   0.6710
   1.250   0.2816   0.00856   0.00258  -0.0158   0.5913   0.6771
   1.500   0.3088   0.00856   0.00258  -0.0157   0.5843   0.6834
   1.750   0.3359   0.00853   0.00260  -0.0155   0.5785   0.6897
   2.250   0.3900   0.00855   0.00265  -0.0152   0.5672   0.7044
   2.500   0.4169   0.00855   0.00268  -0.0150   0.5613   0.7132
   2.750   0.4436   0.00857   0.00273  -0.0147   0.5558   0.7221
   3.250   0.4963   0.00856   0.00283  -0.0141   0.5433   0.7446
   3.500   0.5223   0.00855   0.00291  -0.0137   0.5368   0.7586
   3.750   0.5478   0.00853   0.00298  -0.0133   0.5298   0.7754
   4.000   0.5729   0.00853   0.00306  -0.0127   0.5225   0.7959
   4.250   0.5978   0.00849   0.00315  -0.0120   0.5145   0.8211
   4.500   0.6228   0.00848   0.00326  -0.0113   0.5059   0.8521
   4.750   0.6497   0.00850   0.00338  -0.0110   0.4963   0.8854
   5.000   0.6818   0.00856   0.00354  -0.0119   0.4847   0.9154
   5.250   0.7200   0.00869   0.00372  -0.0141   0.4714   0.9363
   5.500   0.7587   0.00886   0.00389  -0.0165   0.4549   0.9514
   5.750   0.7954   0.00908   0.00407  -0.0186   0.4342   0.9633
   6.000   0.8309   0.00937   0.00428  -0.0205   0.4040   0.9724
