  
       XFOIL         Version 6.99
  
 Calculated polar for: KC-135 BL124.32 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0335   0.01011   0.00281  -0.0273   0.7365   0.0658
  -1.750  -0.0152   0.00920   0.00243  -0.0258   0.7313   0.2328
  -1.500  -0.0086   0.00773   0.00226  -0.0221   0.7262   0.6020
  -1.250   0.0162   0.00769   0.00229  -0.0214   0.7208   0.6390
  -1.000   0.0424   0.00768   0.00229  -0.0209   0.7160   0.6589
  -0.750   0.0687   0.00769   0.00230  -0.0205   0.7106   0.6758
  -0.500   0.0951   0.00766   0.00229  -0.0202   0.7044   0.6888
  -0.250   0.1221   0.00768   0.00227  -0.0199   0.6993   0.7005
   0.000   0.1484   0.00766   0.00229  -0.0196   0.6934   0.7142
   0.250   0.1750   0.00766   0.00229  -0.0192   0.6878   0.7271
   0.500   0.2022   0.00766   0.00229  -0.0190   0.6830   0.7367
   0.750   0.2294   0.00762   0.00229  -0.0189   0.6767   0.7436
   1.000   0.2565   0.00760   0.00225  -0.0187   0.6700   0.7508
   1.250   0.2830   0.00755   0.00222  -0.0185   0.6605   0.7589
   1.500   0.3097   0.00752   0.00219  -0.0182   0.6524   0.7675
   1.750   0.3364   0.00747   0.00220  -0.0179   0.6446   0.7769
   2.000   0.3631   0.00747   0.00221  -0.0177   0.6379   0.7882
   2.250   0.3895   0.00743   0.00224  -0.0174   0.6301   0.8009
   2.500   0.4160   0.00743   0.00228  -0.0171   0.6239   0.8153
   2.750   0.4422   0.00739   0.00234  -0.0167   0.6163   0.8322
   3.000   0.4684   0.00738   0.00240  -0.0163   0.6085   0.8521
   3.250   0.4949   0.00736   0.00248  -0.0159   0.5996   0.8754
   3.500   0.5235   0.00737   0.00259  -0.0160   0.5910   0.8991
   3.750   0.5542   0.00744   0.00269  -0.0165   0.5808   0.9215
   4.000   0.5886   0.00752   0.00281  -0.0179   0.5684   0.9390
   4.250   0.6242   0.00763   0.00293  -0.0197   0.5537   0.9527
   4.500   0.6613   0.00777   0.00307  -0.0218   0.5338   0.9621
   4.750   0.6977   0.00795   0.00321  -0.0237   0.5099   0.9696
   5.000   0.7317   0.00821   0.00338  -0.0253   0.4735   0.9775
   5.250   0.7636   0.00884   0.00365  -0.0267   0.3926   0.9846
   5.750   0.8294   0.01034   0.00452  -0.0305   0.2672   0.9964
   6.000   0.8642   0.01080   0.00485  -0.0327   0.2343   1.0000
