  
       XFOIL         Version 6.99
  
 Calculated polar for: KC-135 BL200.76 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0152   0.01032   0.00342  -0.0329   0.8036   0.0265
  -1.750   0.0095   0.01001   0.00308  -0.0323   0.7969   0.0286
  -1.500   0.0340   0.00963   0.00264  -0.0316   0.7909   0.0336
  -1.250   0.0594   0.00938   0.00239  -0.0311   0.7849   0.0453
  -1.000   0.0849   0.00914   0.00217  -0.0306   0.7785   0.0649
  -0.750   0.0891   0.00699   0.00190  -0.0268   0.7719   0.6478
  -0.500   0.1108   0.00678   0.00192  -0.0253   0.7645   0.7221
  -0.250   0.1354   0.00671   0.00191  -0.0244   0.7574   0.7563
   0.000   0.1610   0.00665   0.00188  -0.0238   0.7501   0.7770
   0.250   0.1863   0.00660   0.00186  -0.0231   0.7417   0.7999
   0.500   0.2115   0.00655   0.00184  -0.0224   0.7324   0.8208
   0.750   0.2362   0.00650   0.00186  -0.0215   0.7231   0.8474
   1.000   0.2625   0.00648   0.00187  -0.0210   0.7151   0.8650
   1.250   0.2896   0.00649   0.00189  -0.0208   0.7085   0.8812
   1.500   0.3172   0.00649   0.00194  -0.0207   0.7018   0.8990
   1.750   0.3468   0.00652   0.00199  -0.0210   0.6949   0.9158
   2.000   0.3785   0.00656   0.00206  -0.0218   0.6870   0.9311
   2.250   0.4124   0.00663   0.00213  -0.0231   0.6797   0.9440
   2.500   0.4469   0.00668   0.00221  -0.0246   0.6702   0.9553
   2.750   0.4825   0.00675   0.00228  -0.0263   0.6602   0.9641
   3.000   0.5198   0.00682   0.00235  -0.0284   0.6485   0.9699
   3.250   0.5548   0.00690   0.00243  -0.0300   0.6346   0.9771
   3.500   0.5934   0.00697   0.00251  -0.0325   0.6177   0.9811
   3.750   0.6289   0.00709   0.00258  -0.0343   0.5938   0.9871
   4.000   0.6657   0.00726   0.00264  -0.0365   0.5507   0.9915
   4.250   0.6992   0.00772   0.00278  -0.0382   0.4647   0.9968
   4.500   0.7248   0.00853   0.00309  -0.0385   0.3601   1.0000
   4.750   0.7390   0.00911   0.00338  -0.0363   0.3007   1.0000
   5.000   0.7554   0.00958   0.00366  -0.0344   0.2584   1.0000
   5.250   0.7739   0.00994   0.00393  -0.0328   0.2337   1.0000
   5.500   0.7920   0.01034   0.00421  -0.0312   0.2063   1.0000
   5.750   0.8106   0.01073   0.00449  -0.0296   0.1781   1.0000
   6.000   0.8280   0.01123   0.00481  -0.0279   0.1375   1.0000
