  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED L-188 ROOT AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.750   0.0670   0.00752   0.00273  -0.0622   0.8119   0.6525
  -1.500   0.0951   0.00749   0.00270  -0.0621   0.8060   0.6690
  -1.250   0.1236   0.00748   0.00267  -0.0620   0.8010   0.6835
  -1.000   0.1517   0.00748   0.00268  -0.0620   0.7946   0.6967
  -0.750   0.1801   0.00748   0.00266  -0.0620   0.7891   0.7097
  -0.500   0.2084   0.00749   0.00268  -0.0619   0.7837   0.7219
  -0.250   0.2363   0.00749   0.00271  -0.0618   0.7772   0.7344
   0.000   0.2643   0.00752   0.00273  -0.0617   0.7719   0.7493
   0.250   0.2919   0.00756   0.00281  -0.0614   0.7663   0.7655
   0.500   0.3199   0.00759   0.00285  -0.0614   0.7602   0.7766
   0.750   0.3486   0.00760   0.00284  -0.0614   0.7550   0.7830
   1.000   0.3768   0.00761   0.00287  -0.0615   0.7485   0.7903
   1.250   0.4048   0.00760   0.00281  -0.0613   0.7387   0.7973
   1.500   0.4315   0.00755   0.00276  -0.0609   0.7247   0.8044
   1.750   0.4588   0.00754   0.00274  -0.0607   0.7125   0.8124
   2.000   0.4862   0.00754   0.00275  -0.0605   0.7028   0.8202
   2.250   0.5137   0.00756   0.00276  -0.0603   0.6931   0.8287
   2.500   0.5409   0.00756   0.00280  -0.0601   0.6836   0.8372
   2.750   0.5680   0.00759   0.00283  -0.0599   0.6740   0.8468
   3.000   0.5947   0.00760   0.00288  -0.0595   0.6630   0.8575
   3.250   0.6211   0.00762   0.00294  -0.0591   0.6517   0.8689
   3.500   0.6471   0.00766   0.00300  -0.0586   0.6398   0.8820
   3.750   0.6724   0.00770   0.00307  -0.0579   0.6263   0.8977
   4.000   0.6973   0.00776   0.00316  -0.0572   0.6106   0.9168
   4.250   0.7241   0.00786   0.00327  -0.0568   0.5916   0.9389
   4.500   0.7550   0.00803   0.00340  -0.0574   0.5659   0.9600
   4.750   0.7892   0.00832   0.00356  -0.0590   0.5267   0.9777
   5.250   0.8384   0.00994   0.00431  -0.0591   0.3531   1.0000
   5.500   0.8496   0.01067   0.00472  -0.0563   0.2937   1.0000
   5.750   0.8646   0.01131   0.00510  -0.0542   0.2480   1.0000
   6.000   0.8818   0.01188   0.00547  -0.0524   0.2125   1.0000
