  
       XFOIL         Version 6.99
  
 Calculated polar for: LISSAMAN 7769 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0470   0.01240   0.00440  -0.0299   0.4712   0.0457
  -1.750   0.0749   0.01212   0.00412  -0.0296   0.4695   0.0475
  -1.500   0.1030   0.01197   0.00395  -0.0294   0.4677   0.0498
  -1.250   0.1311   0.01190   0.00383  -0.0292   0.4657   0.0526
  -1.000   0.1593   0.01171   0.00371  -0.0290   0.4640   0.0581
  -0.750   0.1876   0.01152   0.00363  -0.0288   0.4623   0.0738
  -0.500   0.2160   0.01146   0.00366  -0.0287   0.4605   0.0963
  -0.250   0.2445   0.01147   0.00370  -0.0286   0.4587   0.1077
   0.000   0.2732   0.01152   0.00374  -0.0285   0.4570   0.1164
   0.250   0.3016   0.01151   0.00376  -0.0284   0.4554   0.1243
   0.500   0.3302   0.01158   0.00379  -0.0282   0.4539   0.1312
   0.750   0.3585   0.01156   0.00379  -0.0281   0.4523   0.1396
   1.000   0.3868   0.01165   0.00384  -0.0280   0.4506   0.1465
   1.250   0.4151   0.01164   0.00390  -0.0279   0.4489   0.1550
   1.500   0.4434   0.01160   0.00392  -0.0278   0.4474   0.1643
   1.750   0.4718   0.01160   0.00397  -0.0278   0.4458   0.1752
   2.000   0.5001   0.01156   0.00401  -0.0277   0.4441   0.1877
   2.250   0.5283   0.01152   0.00404  -0.0276   0.4424   0.2033
   2.500   0.5556   0.01118   0.00408  -0.0276   0.4408   0.3323
   3.000   0.6220   0.00971   0.00419  -0.0295   0.4375   1.0000
   3.250   0.6496   0.00988   0.00429  -0.0293   0.4356   1.0000
   3.500   0.6773   0.00998   0.00440  -0.0291   0.4334   1.0000
   3.750   0.7051   0.01002   0.00446  -0.0289   0.4308   1.0000
   4.000   0.7330   0.01007   0.00450  -0.0287   0.4282   1.0000
   4.250   0.7609   0.01009   0.00451  -0.0285   0.4256   1.0000
   4.500   0.7888   0.01014   0.00452  -0.0284   0.4234   1.0000
   4.750   0.8166   0.01027   0.00461  -0.0282   0.4215   1.0000
   5.000   0.8443   0.01045   0.00479  -0.0281   0.4194   1.0000
   5.250   0.8721   0.01050   0.00491  -0.0280   0.4169   1.0000
   5.500   0.9000   0.01050   0.00494  -0.0278   0.4133   1.0000
   5.750   0.9280   0.01044   0.00486  -0.0276   0.4095   1.0000
   6.000   0.9557   0.01051   0.00488  -0.0275   0.4064   1.0000
