  
       XFOIL         Version 6.99
  
 Calculated polar for: LOCKHEED-GEORGIA SUPERCRITICAL AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0958   0.00685   0.00234  -0.0152   0.9309   0.5417
  -1.750  -0.0756   0.00618   0.00224  -0.0133   0.9185   0.6978
  -1.500  -0.0529   0.00588   0.00220  -0.0116   0.9049   0.7789
  -1.250  -0.0302   0.00574   0.00221  -0.0097   0.8901   0.8427
  -1.000  -0.0064   0.00572   0.00223  -0.0081   0.8735   0.8799
  -0.750   0.0171   0.00577   0.00228  -0.0064   0.8551   0.9107
  -0.500   0.0404   0.00591   0.00236  -0.0045   0.8351   0.9362
  -0.250   0.0677   0.00606   0.00241  -0.0036   0.8116   0.9506
   0.000   0.0963   0.00620   0.00241  -0.0033   0.7852   0.9609
   0.250   0.1317   0.00636   0.00242  -0.0046   0.7527   0.9655
   0.500   0.1657   0.00654   0.00241  -0.0057   0.7129   0.9705
   0.750   0.1993   0.00676   0.00240  -0.0068   0.6668   0.9753
   1.000   0.2367   0.00704   0.00241  -0.0089   0.6078   0.9777
   1.250   0.2718   0.00738   0.00244  -0.0106   0.5399   0.9812
   1.500   0.3044   0.00776   0.00250  -0.0118   0.4735   0.9858
   1.750   0.3411   0.00812   0.00256  -0.0140   0.4093   0.9879
   2.000   0.3769   0.00843   0.00263  -0.0159   0.3612   0.9907
   2.250   0.4120   0.00870   0.00271  -0.0177   0.3266   0.9940
   2.500   0.4484   0.00893   0.00279  -0.0198   0.2986   0.9963
   2.750   0.4849   0.00912   0.00287  -0.0219   0.2776   0.9987
   3.000   0.5162   0.00929   0.00295  -0.0229   0.2619   1.0000
   3.250   0.5401   0.00942   0.00303  -0.0223   0.2495   1.0000
   3.500   0.5636   0.00957   0.00311  -0.0216   0.2386   1.0000
   4.000   0.6102   0.00987   0.00333  -0.0201   0.2204   1.0000
   4.250   0.6332   0.01005   0.00347  -0.0192   0.2124   1.0000
   4.500   0.6564   0.01020   0.00360  -0.0184   0.2045   1.0000
   4.750   0.6793   0.01039   0.00377  -0.0175   0.1974   1.0000
   5.000   0.7023   0.01056   0.00393  -0.0166   0.1906   1.0000
   5.250   0.7249   0.01079   0.00413  -0.0157   0.1845   1.0000
   5.500   0.7481   0.01096   0.00431  -0.0148   0.1783   1.0000
   5.750   0.7705   0.01124   0.00455  -0.0139   0.1721   1.0000
   6.000   0.7940   0.01139   0.00475  -0.0131   0.1667   1.0000
