  
       XFOIL         Version 6.99
  
 Calculated polar for: LNV109A                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1613   0.03436   0.02925  -0.0494   0.4378   0.0542
  -1.750   0.1937   0.03038   0.02492  -0.0515   0.4367   0.0575
  -1.500   0.2208   0.02939   0.02390  -0.0518   0.4354   0.0583
  -1.000   0.2794   0.02564   0.01970  -0.0528   0.4331   0.0636
  -0.750   0.3073   0.02482   0.01882  -0.0529   0.4318   0.0649
  -0.500   0.3392   0.02049   0.01373  -0.0529   0.4308   0.0579
  -0.250   0.3674   0.02051   0.01370  -0.0529   0.4295   0.0634
   0.000   0.3954   0.02033   0.01355  -0.0528   0.4284   0.0656
   0.250   0.4263   0.01694   0.00937  -0.0521   0.4274   0.0535
   0.500   0.4545   0.01690   0.00925  -0.0520   0.4257   0.0544
   0.750   0.4834   0.01654   0.00884  -0.0517   0.4247   0.0551
   1.000   0.5123   0.01620   0.00847  -0.0515   0.4236   0.0558
   1.250   0.5412   0.01594   0.00818  -0.0513   0.4222   0.0566
   1.500   0.5695   0.01560   0.00791  -0.0511   0.4208   0.0578
   1.750   0.5981   0.01550   0.00785  -0.0510   0.4195   0.0594
   2.000   0.6268   0.01540   0.00776  -0.0508   0.4181   0.0611
   2.250   0.6554   0.01526   0.00762  -0.0506   0.4167   0.0625
   2.500   0.6838   0.01505   0.00747  -0.0504   0.4153   0.0644
   2.750   0.7124   0.01495   0.00738  -0.0502   0.4140   0.0668
   3.000   0.7410   0.01484   0.00728  -0.0500   0.4128   0.0698
   3.250   0.7695   0.01482   0.00727  -0.0498   0.4117   0.0739
   3.500   0.7979   0.01483   0.00729  -0.0496   0.4105   0.0788
   3.750   0.8258   0.01511   0.00759  -0.0495   0.4088   0.0863
   4.250   0.8813   0.01448   0.00781  -0.0493   0.4061   0.3652
   5.250   1.0000   0.01358   0.00817  -0.0500   0.3996   1.0000
   5.500   1.0285   0.01365   0.00820  -0.0498   0.3983   1.0000
   5.750   1.0570   0.01369   0.00820  -0.0496   0.3970   1.0000
   6.000   1.0854   0.01375   0.00821  -0.0495   0.3957   1.0000
