  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY LS(1)-0013 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2330   0.00795   0.00321   0.0009   0.8056   0.7043
  -1.750  -0.2038   0.00797   0.00325   0.0008   0.8020   0.7144
  -1.500  -0.1748   0.00801   0.00329   0.0007   0.7990   0.7252
  -1.250  -0.1458   0.00810   0.00336   0.0006   0.7957   0.7370
  -1.000  -0.1165   0.00815   0.00345   0.0005   0.7910   0.7473
  -0.750  -0.0874   0.00815   0.00345   0.0004   0.7861   0.7539
  -0.500  -0.0586   0.00817   0.00344   0.0004   0.7818   0.7591
   0.000   0.0000   0.00817   0.00346  -0.0000   0.7710   0.7709
   0.500   0.0587   0.00817   0.00344  -0.0004   0.7591   0.7818
   0.750   0.0875   0.00815   0.00345  -0.0004   0.7539   0.7861
   1.000   0.1165   0.00815   0.00345  -0.0005   0.7474   0.7910
   1.250   0.1459   0.00810   0.00337  -0.0006   0.7370   0.7958
   1.500   0.1748   0.00801   0.00329  -0.0007   0.7251   0.7990
   1.750   0.2039   0.00797   0.00325  -0.0008   0.7143   0.8020
   2.000   0.2330   0.00795   0.00321  -0.0009   0.7042   0.8056
   2.250   0.2627   0.00792   0.00318  -0.0012   0.6903   0.8096
   2.500   0.2921   0.00790   0.00315  -0.0015   0.6745   0.8130
   2.750   0.3212   0.00789   0.00315  -0.0016   0.6588   0.8160
   3.000   0.3504   0.00790   0.00317  -0.0018   0.6358   0.8196
   3.250   0.3793   0.00799   0.00316  -0.0020   0.6004   0.8236
   3.500   0.4077   0.00828   0.00319  -0.0022   0.5273   0.8274
   3.750   0.4338   0.00899   0.00342  -0.0024   0.4114   0.8306
   4.000   0.4605   0.00961   0.00371  -0.0026   0.3333   0.8342
   4.250   0.4872   0.01026   0.00401  -0.0029   0.2517   0.8385
   4.500   0.5138   0.01093   0.00433  -0.0033   0.1785   0.8427
   4.750   0.5399   0.01143   0.00464  -0.0033   0.1355   0.8462
   5.000   0.5665   0.01189   0.00496  -0.0034   0.1081   0.8502
   5.250   0.5938   0.01227   0.00528  -0.0035   0.0925   0.8548
   5.500   0.6204   0.01267   0.00563  -0.0036   0.0821   0.8591
   5.750   0.6470   0.01296   0.00594  -0.0035   0.0758   0.8633
   6.000   0.6733   0.01339   0.00636  -0.0034   0.0702   0.8681
