  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY LS(1)-0413MOD AIRFOIL              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2614   0.00745   0.00288  -0.0983   0.8015   0.6956
  -1.750   0.2901   0.00755   0.00296  -0.0981   0.7931   0.7095
  -1.500   0.3187   0.00765   0.00306  -0.0980   0.7840   0.7224
  -1.250   0.3478   0.00777   0.00310  -0.0980   0.7739   0.7331
  -1.000   0.3756   0.00782   0.00312  -0.0977   0.7618   0.7386
  -0.750   0.4045   0.00789   0.00316  -0.0977   0.7500   0.7459
  -0.500   0.4333   0.00795   0.00319  -0.0977   0.7396   0.7516
  -0.250   0.4618   0.00802   0.00321  -0.0977   0.7298   0.7555
   0.000   0.4911   0.00806   0.00323  -0.0979   0.7183   0.7597
   0.250   0.5210   0.00812   0.00322  -0.0982   0.7048   0.7641
   0.500   0.5490   0.00817   0.00324  -0.0980   0.6897   0.7676
   0.750   0.5771   0.00825   0.00329  -0.0979   0.6753   0.7716
   1.000   0.6060   0.00835   0.00334  -0.0980   0.6620   0.7763
   1.250   0.6354   0.00844   0.00338  -0.0983   0.6475   0.7806
   1.500   0.6632   0.00852   0.00344  -0.0982   0.6312   0.7837
   1.750   0.6912   0.00863   0.00351  -0.0981   0.6145   0.7872
   2.000   0.7195   0.00877   0.00359  -0.0981   0.5954   0.7911
   2.250   0.7484   0.00892   0.00365  -0.0983   0.5735   0.7947
   2.500   0.7760   0.00908   0.00373  -0.0983   0.5488   0.7974
   2.750   0.8028   0.00929   0.00385  -0.0981   0.5203   0.8001
   3.000   0.8294   0.00956   0.00400  -0.0978   0.4885   0.8034
   3.500   0.8832   0.01023   0.00436  -0.0977   0.4204   0.8107
   3.750   0.9086   0.01057   0.00458  -0.0973   0.3864   0.8135
   4.000   0.9338   0.01097   0.00483  -0.0969   0.3506   0.8168
   4.250   0.9589   0.01141   0.00511  -0.0966   0.3134   0.8206
   4.500   0.9845   0.01188   0.00541  -0.0964   0.2796   0.8245
   4.750   1.0096   0.01232   0.00572  -0.0961   0.2514   0.8277
   5.000   1.0338   0.01276   0.00605  -0.0956   0.2265   0.8310
   5.250   1.0586   0.01318   0.00639  -0.0951   0.2046   0.8348
   5.500   1.0836   0.01364   0.00675  -0.0948   0.1856   0.8388
   5.750   1.1085   0.01406   0.00709  -0.0945   0.1697   0.8424
