  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2782   0.00989   0.00511  -0.1118   0.7914   0.6802
  -1.750   0.3093   0.01004   0.00523  -0.1125   0.7889   0.6882
  -1.500   0.3371   0.01017   0.00543  -0.1122   0.7862   0.6937
  -1.250   0.3667   0.01026   0.00553  -0.1125   0.7833   0.6981
  -1.000   0.3976   0.01026   0.00549  -0.1130   0.7798   0.7017
  -0.750   0.4292   0.01026   0.00541  -0.1138   0.7760   0.7050
  -0.500   0.4591   0.01027   0.00541  -0.1142   0.7718   0.7076
  -0.250   0.4878   0.01022   0.00540  -0.1141   0.7660   0.7102
   0.000   0.5167   0.01016   0.00531  -0.1140   0.7589   0.7137
   0.250   0.5459   0.01019   0.00531  -0.1141   0.7524   0.7180
   0.500   0.5765   0.01017   0.00529  -0.1146   0.7466   0.7216
   0.750   0.6074   0.01013   0.00522  -0.1152   0.7418   0.7243
   1.000   0.6367   0.01012   0.00519  -0.1154   0.7367   0.7263
   1.250   0.6656   0.01009   0.00522  -0.1155   0.7310   0.7284
   1.500   0.6951   0.01006   0.00519  -0.1158   0.7246   0.7305
   1.750   0.7248   0.01003   0.00513  -0.1160   0.7169   0.7327
   2.000   0.7543   0.00997   0.00510  -0.1164   0.7076   0.7349
   2.250   0.7845   0.00996   0.00505  -0.1168   0.6998   0.7372
   2.500   0.8145   0.00994   0.00504  -0.1173   0.6897   0.7393
   2.750   0.8443   0.00992   0.00501  -0.1177   0.6791   0.7410
   3.000   0.8724   0.00991   0.00498  -0.1177   0.6658   0.7426
   3.250   0.9000   0.00994   0.00500  -0.1176   0.6485   0.7443
   3.500   0.9271   0.01001   0.00504  -0.1174   0.6239   0.7459
   3.750   0.9517   0.01023   0.00511  -0.1168   0.5829   0.7476
   4.000   0.9710   0.01080   0.00535  -0.1153   0.5199   0.7495
   4.250   0.9873   0.01160   0.00578  -0.1134   0.4532   0.7515
   4.500   1.0041   0.01237   0.00624  -0.1116   0.3961   0.7538
   4.750   1.0213   0.01310   0.00670  -0.1100   0.3461   0.7561
   5.000   1.0387   0.01375   0.00713  -0.1084   0.3048   0.7579
   5.250   1.0557   0.01434   0.00756  -0.1067   0.2712   0.7596
   5.500   1.0722   0.01493   0.00801  -0.1049   0.2427   0.7613
   5.750   1.0886   0.01549   0.00845  -0.1030   0.2184   0.7632
   6.000   1.1027   0.01605   0.00891  -0.1008   0.1984   0.7653
