  
       XFOIL         Version 6.99
  
 Calculated polar for: LWK 79-100                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2214   0.00717   0.00183  -0.0020   0.7383   0.5663
  -1.750  -0.1939   0.00718   0.00182  -0.0017   0.7280   0.5813
  -1.500  -0.1663   0.00722   0.00180  -0.0014   0.7185   0.5944
  -1.250  -0.1384   0.00722   0.00179  -0.0012   0.7089   0.6067
  -1.000  -0.1107   0.00724   0.00179  -0.0010   0.7001   0.6185
  -0.750  -0.0831   0.00725   0.00179  -0.0007   0.6912   0.6296
  -0.500  -0.0554   0.00725   0.00178  -0.0005   0.6804   0.6394
  -0.250  -0.0276   0.00726   0.00177  -0.0003   0.6695   0.6497
   0.000   0.0001   0.00727   0.00177  -0.0000   0.6597   0.6597
   0.250   0.0277   0.00726   0.00177   0.0002   0.6496   0.6695
   0.500   0.0555   0.00725   0.00178   0.0005   0.6394   0.6804
   0.750   0.0833   0.00725   0.00179   0.0007   0.6296   0.6912
   1.000   0.1108   0.00724   0.00179   0.0010   0.6186   0.7001
   1.250   0.1386   0.00723   0.00179   0.0012   0.6067   0.7089
   1.750   0.1940   0.00718   0.00182   0.0017   0.5812   0.7279
   2.000   0.2216   0.00717   0.00183   0.0019   0.5664   0.7383
   2.250   0.2490   0.00716   0.00185   0.0022   0.5499   0.7500
   2.500   0.2762   0.00714   0.00187   0.0025   0.5301   0.7634
   2.750   0.3029   0.00715   0.00191   0.0030   0.5071   0.7797
   3.000   0.3292   0.00716   0.00195   0.0035   0.4788   0.8016
   3.250   0.3540   0.00716   0.00201   0.0043   0.4424   0.8365
   3.500   0.3824   0.00720   0.00215   0.0046   0.3981   0.9166
   3.750   0.4342   0.00754   0.00233  -0.0007   0.3368   0.9844
   4.000   0.4697   0.00798   0.00251  -0.0026   0.2772   1.0000
   4.250   0.4941   0.00838   0.00273  -0.0020   0.2344   1.0000
   4.500   0.5189   0.00876   0.00296  -0.0015   0.1993   1.0000
   4.750   0.5437   0.00916   0.00320  -0.0010   0.1656   1.0000
   5.000   0.5685   0.00958   0.00348  -0.0005   0.1349   1.0000
   5.250   0.5933   0.01000   0.00378  -0.0000   0.1074   1.0000
   5.500   0.6179   0.01049   0.00414   0.0005   0.0828   1.0000
   5.750   0.6427   0.01096   0.00453   0.0010   0.0666   1.0000
   6.000   0.6675   0.01145   0.00499   0.0016   0.0572   1.0000
