  
       XFOIL         Version 6.99
  
 Calculated polar for: LWK 80-120/K25                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2148   0.00779   0.00325  -0.0028   0.8301   0.7481
  -1.750  -0.1878   0.00787   0.00335  -0.0025   0.8272   0.7563
  -1.500  -0.1614   0.00795   0.00341  -0.0021   0.8245   0.7649
  -1.250  -0.1345   0.00807   0.00353  -0.0017   0.8219   0.7744
  -1.000  -0.1069   0.00818   0.00365  -0.0014   0.8196   0.7818
  -0.750  -0.0813   0.00827   0.00375  -0.0009   0.8162   0.7893
  -0.500  -0.0542   0.00831   0.00381  -0.0006   0.8127   0.7948
  -0.250  -0.0268   0.00836   0.00387  -0.0003   0.8093   0.8005
   0.000   0.0000   0.00840   0.00385  -0.0000   0.8059   0.8059
   0.250   0.0268   0.00835   0.00386   0.0003   0.8001   0.8093
   0.500   0.0543   0.00831   0.00381   0.0006   0.7947   0.8127
   0.750   0.0813   0.00827   0.00374   0.0009   0.7892   0.8161
   1.000   0.1070   0.00818   0.00364   0.0014   0.7816   0.8196
   1.250   0.1343   0.00806   0.00352   0.0017   0.7738   0.8220
   1.500   0.1615   0.00795   0.00342   0.0021   0.7653   0.8244
   1.750   0.1879   0.00787   0.00335   0.0025   0.7565   0.8272
   2.000   0.2149   0.00779   0.00325   0.0028   0.7480   0.8302
   2.250   0.2403   0.00773   0.00322   0.0034   0.7387   0.8334
   2.500   0.2668   0.00765   0.00316   0.0038   0.7286   0.8358
   2.750   0.2932   0.00757   0.00311   0.0042   0.7154   0.8382
   3.000   0.3190   0.00751   0.00307   0.0048   0.6993   0.8410
   3.250   0.3443   0.00749   0.00304   0.0054   0.6799   0.8440
   3.500   0.3685   0.00750   0.00301   0.0063   0.6516   0.8471
   3.750   0.3893   0.00763   0.00295   0.0079   0.5920   0.8500
   4.000   0.4021   0.00821   0.00308   0.0109   0.4803   0.8534
   4.250   0.4151   0.00891   0.00335   0.0135   0.3777   0.8571
   4.500   0.4298   0.00957   0.00363   0.0157   0.2876   0.8610
   4.750   0.4469   0.01012   0.00388   0.0175   0.2176   0.8646
   5.250   0.4857   0.01101   0.00440   0.0202   0.1300   0.8720
   5.500   0.5058   0.01138   0.00467   0.0215   0.1077   0.8760
   5.750   0.5276   0.01168   0.00494   0.0225   0.0924   0.8796
   6.000   0.5487   0.01201   0.00524   0.0236   0.0813   0.8839
