  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-M1 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2306   0.00799   0.00160   0.0019   1.0000   0.1488
  -1.750  -0.2079   0.00672   0.00137   0.0021   1.0000   0.4189
  -1.500  -0.1850   0.00586   0.00129   0.0027   1.0000   0.6190
  -1.250  -0.1619   0.00539   0.00129   0.0038   1.0000   0.7420
  -1.000  -0.1400   0.00507   0.00136   0.0054   1.0000   0.8413
  -0.750  -0.1190   0.00496   0.00147   0.0075   1.0000   0.9189
  -0.500  -0.0878   0.00499   0.00155   0.0071   1.0000   0.9604
  -0.250  -0.0410   0.00505   0.00161   0.0030   1.0000   0.9906
   0.000   0.0000   0.00508   0.00164  -0.0000   1.0000   1.0000
   0.250   0.0406   0.00505   0.00161  -0.0029   0.9909   1.0000
   0.500   0.0875   0.00499   0.00155  -0.0070   0.9615   1.0000
   0.750   0.1189   0.00496   0.00147  -0.0075   0.9187   1.0000
   1.000   0.1400   0.00507   0.00136  -0.0054   0.8415   1.0000
   1.250   0.1619   0.00539   0.00129  -0.0038   0.7421   1.0000
   1.500   0.1850   0.00586   0.00129  -0.0027   0.6198   1.0000
   1.750   0.2078   0.00672   0.00136  -0.0021   0.4199   1.0000
   2.000   0.2306   0.00798   0.00160  -0.0018   0.1506   1.0000
   2.250   0.2557   0.00858   0.00184  -0.0015   0.0633   1.0000
   2.500   0.2820   0.00881   0.00204  -0.0012   0.0569   1.0000
   2.750   0.3083   0.00912   0.00236  -0.0009   0.0527   1.0000
   3.000   0.3349   0.00936   0.00264  -0.0006   0.0511   1.0000
   3.250   0.3615   0.00965   0.00297  -0.0004   0.0486   1.0000
   3.500   0.3879   0.01004   0.00339  -0.0001   0.0452   1.0000
   3.750   0.4131   0.01096   0.00436   0.0003   0.0410   1.0000
   4.000   0.4398   0.01124   0.00469   0.0005   0.0393   1.0000
   4.250   0.4663   0.01167   0.00516   0.0008   0.0366   1.0000
   4.500   0.4923   0.01220   0.00571   0.0010   0.0325   1.0000
   4.750   0.5179   0.01303   0.00663   0.0014   0.0289   1.0000
   5.000   0.5449   0.01331   0.00698   0.0016   0.0243   1.0000
   5.250   0.5707   0.01404   0.00774   0.0018   0.0207   1.0000
   5.500   0.5955   0.01558   0.00947   0.0024   0.0182   1.0000
   5.750   0.6218   0.01630   0.01034   0.0028   0.0161   1.0000
   6.000   0.6473   0.01764   0.01188   0.0034   0.0146   1.0000
