  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M27 AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3002   0.03524   0.02985  -0.0569   0.5150   0.0362
  -1.750   0.3183   0.03243   0.02700  -0.0568   0.5122   0.0369
  -1.500   0.3420   0.03109   0.02559  -0.0569   0.5094   0.0375
  -1.250   0.3671   0.02990   0.02428  -0.0570   0.5065   0.0384
  -1.000   0.3939   0.02863   0.02293  -0.0571   0.5036   0.0399
  -0.750   0.4306   0.02760   0.02158  -0.0567   0.5007   0.0432
  -0.500   0.4522   0.02525   0.01917  -0.0567   0.4978   0.0442
  -0.250   0.4774   0.02439   0.01826  -0.0569   0.4951   0.0452
   0.000   0.5040   0.02355   0.01731  -0.0569   0.4923   0.0469
   0.250   0.5351   0.02197   0.01539  -0.0563   0.4897   0.0519
   0.500   0.5610   0.02109   0.01453  -0.0565   0.4868   0.0528
   0.750   0.5879   0.02042   0.01383  -0.0567   0.4837   0.0545
   1.250   0.6442   0.01868   0.01176  -0.0565   0.4784   0.0624
   1.500   0.6716   0.01824   0.01122  -0.0566   0.4756   0.0653
   1.750   0.7008   0.01744   0.01024  -0.0565   0.4730   0.0718
   2.000   0.7283   0.01688   0.00970  -0.0567   0.4700   0.0740
   2.250   0.7566   0.01638   0.00913  -0.0568   0.4671   0.0770
   2.500   0.7891   0.01344   0.00554  -0.0557   0.4649   0.0431
   2.750   0.8157   0.01319   0.00522  -0.0556   0.4623   0.0436
   3.000   0.8418   0.01297   0.00501  -0.0554   0.4598   0.0445
   3.250   0.8684   0.01285   0.00494  -0.0554   0.4570   0.0462
   3.500   0.8954   0.01281   0.00492  -0.0555   0.4541   0.0488
   3.750   0.9222   0.01277   0.00487  -0.0555   0.4513   0.0508
   4.000   0.9488   0.01277   0.00487  -0.0554   0.4487   0.0556
   4.250   0.9756   0.01287   0.00497  -0.0555   0.4460   0.0701
   4.500   1.0024   0.01286   0.00511  -0.0556   0.4436   0.1135
   4.750   1.0292   0.01288   0.00525  -0.0558   0.4408   0.1532
   5.000   1.0489   0.01227   0.00539  -0.0547   0.4382   0.6210
