  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA M4 AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1404   0.01331   0.00669   0.0004   0.8004   0.0449
  -1.750  -0.1133   0.01252   0.00576   0.0007   0.7859   0.0449
  -1.500  -0.0864   0.01158   0.00473   0.0010   0.7725   0.0441
  -1.250  -0.0596   0.01087   0.00392   0.0013   0.7596   0.0435
  -1.000  -0.0326   0.01036   0.00334   0.0016   0.7473   0.0431
  -0.750  -0.0054   0.00997   0.00288   0.0019   0.7353   0.0431
  -0.500   0.0219   0.00966   0.00250   0.0020   0.7239   0.0436
  -0.250   0.0495   0.00945   0.00223   0.0022   0.7129   0.0446
   0.000   0.0769   0.00911   0.00184   0.0024   0.7023   0.0505
   0.250   0.1048   0.00901   0.00169   0.0024   0.6915   0.0557
   0.500   0.1328   0.00890   0.00158   0.0024   0.6804   0.0644
   0.750   0.1591   0.00825   0.00155   0.0024   0.6697   0.2709
   1.000   0.2228   0.00640   0.00176  -0.0055   0.6579   1.0000
   1.250   0.2495   0.00643   0.00172  -0.0053   0.6468   1.0000
   1.500   0.2762   0.00648   0.00170  -0.0050   0.6357   1.0000
   1.750   0.3028   0.00653   0.00169  -0.0048   0.6243   1.0000
   2.000   0.3294   0.00657   0.00169  -0.0045   0.6123   1.0000
   2.250   0.3560   0.00662   0.00171  -0.0042   0.6000   1.0000
   2.500   0.3825   0.00669   0.00174  -0.0040   0.5856   1.0000
   2.750   0.4090   0.00676   0.00176  -0.0037   0.5662   1.0000
   3.000   0.4354   0.00685   0.00178  -0.0034   0.5454   1.0000
   3.250   0.4618   0.00694   0.00185  -0.0031   0.5250   1.0000
   3.500   0.4883   0.00706   0.00192  -0.0029   0.5049   1.0000
   3.750   0.5147   0.00721   0.00200  -0.0027   0.4785   1.0000
   4.000   0.5411   0.00738   0.00213  -0.0024   0.4530   1.0000
   4.250   0.5675   0.00757   0.00227  -0.0022   0.4258   1.0000
   4.500   0.5938   0.00782   0.00243  -0.0021   0.3906   1.0000
   4.750   0.6195   0.00832   0.00266  -0.0020   0.3175   1.0000
   5.000   0.6437   0.00962   0.00322  -0.0023   0.1563   1.0000
   5.250   0.6681   0.01089   0.00396  -0.0025   0.0517   1.0000
   5.500   0.6939   0.01145   0.00451  -0.0023   0.0384   1.0000
   5.750   0.7196   0.01209   0.00521  -0.0022   0.0286   1.0000
   6.000   0.7448   0.01286   0.00604  -0.0019   0.0226   1.0000
