  
       XFOIL         Version 6.99
  
 Calculated polar for: M6 (65%)                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1209   0.00869   0.00214  -0.0110   0.8975   0.0532
  -1.750  -0.0956   0.00836   0.00193  -0.0103   0.8748   0.0969
  -1.500  -0.0723   0.00802   0.00178  -0.0093   0.8522   0.1718
  -1.250  -0.0509   0.00756   0.00164  -0.0081   0.8318   0.2884
  -1.000  -0.0398   0.00645   0.00147  -0.0049   0.8119   0.5738
  -0.750  -0.0223   0.00548   0.00153  -0.0021   0.7951   0.8727
  -0.500   0.0552   0.00576   0.00182  -0.0125   0.7806   0.9374
  -0.250   0.0944   0.00615   0.00210  -0.0143   0.7649   0.9581
   0.000   0.1513   0.00662   0.00245  -0.0202   0.7491   0.9723
   0.250   0.2233   0.00699   0.00271  -0.0293   0.7331   0.9877
   0.500   0.2743   0.00697   0.00261  -0.0343   0.7166   0.9941
   0.750   0.3185   0.00688   0.00242  -0.0379   0.6987   0.9989
   1.000   0.3466   0.00688   0.00233  -0.0381   0.6801   1.0000
   1.250   0.3693   0.00689   0.00228  -0.0371   0.6622   1.0000
   1.500   0.3922   0.00692   0.00226  -0.0361   0.6464   1.0000
   1.750   0.4153   0.00695   0.00226  -0.0352   0.6322   1.0000
   2.000   0.4382   0.00700   0.00225  -0.0342   0.6151   1.0000
   2.250   0.4611   0.00705   0.00225  -0.0332   0.5960   1.0000
   2.500   0.4839   0.00712   0.00227  -0.0322   0.5738   1.0000
   2.750   0.5060   0.00724   0.00226  -0.0310   0.5386   1.0000
   3.000   0.5281   0.00739   0.00228  -0.0299   0.5006   1.0000
   3.250   0.5502   0.00758   0.00234  -0.0288   0.4582   1.0000
   3.500   0.5715   0.00788   0.00242  -0.0276   0.4010   1.0000
   3.750   0.5933   0.00819   0.00254  -0.0266   0.3521   1.0000
   4.000   0.6137   0.00869   0.00273  -0.0254   0.2752   1.0000
   4.250   0.6327   0.00944   0.00305  -0.0240   0.1783   1.0000
   4.500   0.6494   0.01054   0.00356  -0.0224   0.0612   1.0000
   4.750   0.6686   0.01137   0.00423  -0.0208   0.0281   1.0000
   5.000   0.6905   0.01174   0.00466  -0.0196   0.0261   1.0000
   5.250   0.7119   0.01217   0.00515  -0.0184   0.0248   1.0000
   5.500   0.7328   0.01266   0.00569  -0.0170   0.0239   1.0000
   5.750   0.7530   0.01321   0.00630  -0.0156   0.0232   1.0000
   6.000   0.7726   0.01382   0.00696  -0.0141   0.0224   1.0000
