  
       XFOIL         Version 6.99
  
 Calculated polar for: MA409 (original)                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3216   0.00750   0.00136  -0.1056   0.7670   0.3268
  -1.750   0.3492   0.00742   0.00138  -0.1056   0.7636   0.3712
  -1.500   0.3769   0.00734   0.00142  -0.1056   0.7606   0.4251
  -1.250   0.4043   0.00721   0.00144  -0.1056   0.7568   0.4748
  -1.000   0.4302   0.00689   0.00153  -0.1053   0.7501   0.6173
  -0.500   0.4833   0.00621   0.00164  -0.1042   0.7368   1.0000
  -0.250   0.5107   0.00630   0.00169  -0.1041   0.7302   1.0000
   0.000   0.5381   0.00639   0.00175  -0.1039   0.7234   1.0000
   0.250   0.5653   0.00645   0.00180  -0.1038   0.7160   1.0000
   0.500   0.5923   0.00652   0.00185  -0.1035   0.7061   1.0000
   0.750   0.6192   0.00650   0.00187  -0.1033   0.6927   1.0000
   1.000   0.6458   0.00635   0.00174  -0.1029   0.6162   1.0000
   1.250   0.6670   0.00674   0.00174  -0.1015   0.5794   1.0000
   1.500   0.6910   0.00723   0.00207  -0.1008   0.5576   1.0000
   1.750   0.7172   0.00745   0.00228  -0.1005   0.5370   1.0000
   2.000   0.7440   0.00755   0.00238  -0.1003   0.4975   1.0000
   2.250   0.7673   0.00799   0.00253  -0.0995   0.4297   1.0000
   2.500   0.7869   0.00890   0.00287  -0.0983   0.3189   1.0000
   2.750   0.8039   0.01028   0.00341  -0.0968   0.1494   1.0000
   3.000   0.8217   0.01180   0.00425  -0.0951   0.0193   1.0000
   3.250   0.8469   0.01226   0.00484  -0.0945   0.0168   1.0000
   3.500   0.8714   0.01283   0.00552  -0.0937   0.0144   1.0000
   3.750   0.8948   0.01357   0.00635  -0.0928   0.0129   1.0000
   4.000   0.9168   0.01451   0.00738  -0.0916   0.0121   1.0000
   4.250   0.9377   0.01561   0.00855  -0.0901   0.0118   1.0000
   4.500   0.9585   0.01682   0.00983  -0.0887   0.0117   1.0000
   4.750   0.9768   0.01891   0.01198  -0.0869   0.0107   1.0000
   5.000   1.0006   0.02017   0.01333  -0.0859   0.0110   1.0000
   5.500   1.0583   0.02442   0.01810  -0.0829   0.0220   1.0000
   5.750   1.0808   0.02679   0.02048  -0.0823   0.0196   1.0000
