  
       XFOIL         Version 6.99
  
 Calculated polar for: MARSKE XM-1D AIRFOIL (F14-3.0)                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1205   0.01475   0.00625   0.0226   0.4421   0.0464
  -1.750  -0.0934   0.01433   0.00582   0.0229   0.4359   0.0471
  -1.500  -0.0661   0.01395   0.00547   0.0233   0.4300   0.0478
  -1.250  -0.0393   0.01364   0.00514   0.0238   0.4240   0.0481
  -1.000  -0.0128   0.01340   0.00486   0.0244   0.4183   0.0484
  -0.750   0.0140   0.01314   0.00463   0.0249   0.4134   0.0489
  -0.500   0.0410   0.01299   0.00445   0.0254   0.4083   0.0495
  -0.250   0.0659   0.01265   0.00412   0.0261   0.4032   0.0502
   0.000   0.0913   0.01237   0.00388   0.0268   0.3988   0.0515
   0.250   0.1177   0.01217   0.00372   0.0273   0.3946   0.0529
   0.500   0.1444   0.01206   0.00360   0.0278   0.3903   0.0538
   0.750   0.1700   0.01187   0.00341   0.0284   0.3859   0.0549
   1.000   0.1963   0.01177   0.00331   0.0289   0.3818   0.0565
   1.250   0.2235   0.01167   0.00323   0.0293   0.3779   0.0584
   1.500   0.2502   0.01156   0.00312   0.0297   0.3741   0.0611
   1.750   0.2773   0.01154   0.00307   0.0301   0.3703   0.0643
   2.000   0.3034   0.01151   0.00311   0.0306   0.3663   0.1034
   2.250   0.3272   0.01113   0.00314   0.0314   0.3633   0.2342
   2.500   0.3356   0.00963   0.00303   0.0348   0.3606   0.6586
   2.750   0.3523   0.00914   0.00315   0.0375   0.3572   0.8137
   3.000   0.3791   0.00911   0.00333   0.0383   0.3536   0.8818
   3.250   0.4122   0.00931   0.00356   0.0377   0.3497   0.9206
   3.500   0.4471   0.00952   0.00380   0.0367   0.3463   0.9420
   3.750   0.4857   0.00972   0.00402   0.0349   0.3428   0.9547
   4.000   0.5267   0.00994   0.00422   0.0325   0.3390   0.9622
   4.250   0.5715   0.01021   0.00444   0.0293   0.3349   0.9686
   4.500   0.6152   0.01054   0.00470   0.0262   0.3305   0.9735
   4.750   0.6622   0.01070   0.00489   0.0225   0.3270   0.9779
   5.000   0.7018   0.01084   0.00504   0.0202   0.3227   0.9833
   5.250   0.7473   0.01096   0.00511   0.0167   0.3180   0.9862
   5.500   0.7826   0.01116   0.00526   0.0150   0.3138   0.9886
   5.750   0.8194   0.01121   0.00537   0.0132   0.3100   0.9919
   6.000   0.8581   0.01125   0.00543   0.0109   0.3053   0.9947
