  
       XFOIL         Version 6.99
  
 Calculated polar for: MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0852   0.01094   0.00317   0.0123   0.5446   0.0493
  -1.750  -0.0622   0.01079   0.00290   0.0135   0.5134   0.0525
  -1.500  -0.0384   0.01075   0.00273   0.0145   0.4817   0.0567
  -1.000  -0.0010   0.00981   0.00237   0.0181   0.4261   0.2751
  -0.750  -0.0129   0.00786   0.00212   0.0259   0.4119   0.7305
  -0.500   0.0052   0.00783   0.00229   0.0287   0.3896   0.8229
  -0.250   0.0284   0.00799   0.00240   0.0302   0.3689   0.8538
   0.000   0.0538   0.00816   0.00252   0.0312   0.3506   0.8732
   0.250   0.0789   0.00834   0.00262   0.0323   0.3349   0.8880
   0.750   0.1318   0.00874   0.00289   0.0338   0.3103   0.9115
   1.000   0.1585   0.00891   0.00299   0.0343   0.3010   0.9190
   1.250   0.1871   0.00913   0.00313   0.0345   0.2924   0.9261
   1.500   0.2156   0.00931   0.00327   0.0347   0.2852   0.9328
   1.750   0.2479   0.00958   0.00347   0.0341   0.2780   0.9391
   2.000   0.2768   0.00978   0.00362   0.0341   0.2719   0.9445
   2.250   0.3116   0.00996   0.00375   0.0328   0.2657   0.9466
   2.500   0.3438   0.01019   0.00389   0.0319   0.2593   0.9490
   2.750   0.3734   0.01031   0.00400   0.0316   0.2547   0.9525
   3.000   0.4029   0.01043   0.00409   0.0313   0.2498   0.9559
   3.250   0.4388   0.01068   0.00427   0.0296   0.2446   0.9571
   3.500   0.4737   0.01086   0.00442   0.0280   0.2405   0.9582
   3.750   0.5078   0.01099   0.00455   0.0267   0.2363   0.9597
   4.000   0.5399   0.01116   0.00469   0.0257   0.2324   0.9618
   4.250   0.5648   0.01141   0.00488   0.0263   0.2282   0.9663
   4.500   0.6003   0.01155   0.00503   0.0246   0.2250   0.9673
   4.750   0.6353   0.01170   0.00518   0.0230   0.2213   0.9685
   5.000   0.6691   0.01188   0.00535   0.0216   0.2181   0.9702
   5.250   0.7004   0.01213   0.00556   0.0207   0.2147   0.9728
   5.500   0.7281   0.01237   0.00580   0.0206   0.2116   0.9765
   5.750   0.7632   0.01248   0.00595   0.0190   0.2083   0.9777
   6.000   0.7973   0.01262   0.00610   0.0175   0.2049   0.9793
