  
       XFOIL         Version 6.99
  
 Calculated polar for: MARSKE MONARCH AIRFOIL (NACA 43012A)            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0787   0.01280   0.00400   0.0202   0.2748   0.0486
  -1.750  -0.0548   0.01269   0.00384   0.0213   0.2674   0.0509
  -1.500  -0.0299   0.01256   0.00369   0.0222   0.2615   0.0531
  -1.250  -0.0056   0.01238   0.00348   0.0232   0.2556   0.0559
  -1.000   0.0186   0.01235   0.00340   0.0242   0.2493   0.0600
  -0.750   0.0436   0.01221   0.00328   0.0251   0.2450   0.0663
  -0.500   0.0665   0.01191   0.00316   0.0263   0.2406   0.1140
  -0.250   0.0481   0.00938   0.00279   0.0351   0.2390   0.6979
   0.000   0.0638   0.00921   0.00315   0.0388   0.2350   0.8701
   0.250   0.0894   0.00947   0.00341   0.0401   0.2308   0.8995
   0.500   0.1185   0.00969   0.00362   0.0406   0.2272   0.9159
   0.750   0.1526   0.01008   0.00397   0.0402   0.2233   0.9308
   1.000   0.1857   0.01050   0.00431   0.0398   0.2196   0.9414
   1.250   0.2335   0.01103   0.00472   0.0362   0.2153   0.9441
   1.500   0.2871   0.01142   0.00506   0.0314   0.2121   0.9464
   1.750   0.3170   0.01166   0.00525   0.0313   0.2091   0.9533
   2.250   0.3933   0.01208   0.00552   0.0274   0.2034   0.9554
   2.500   0.4242   0.01234   0.00571   0.0267   0.2007   0.9566
   2.750   0.4559   0.01243   0.00580   0.0260   0.1993   0.9581
   3.000   0.4855   0.01254   0.00589   0.0257   0.1976   0.9600
   3.250   0.5077   0.01264   0.00599   0.0269   0.1960   0.9636
   3.500   0.5364   0.01276   0.00609   0.0267   0.1943   0.9654
   3.750   0.5688   0.01290   0.00620   0.0257   0.1925   0.9664
   4.000   0.6006   0.01307   0.00634   0.0249   0.1909   0.9676
   4.250   0.6314   0.01330   0.00652   0.0242   0.1892   0.9690
   4.500   0.6601   0.01367   0.00685   0.0239   0.1873   0.9709
   4.750   0.6861   0.01393   0.00712   0.0242   0.1860   0.9739
   5.000   0.7154   0.01407   0.00729   0.0238   0.1850   0.9760
   5.250   0.7482   0.01424   0.00748   0.0227   0.1838   0.9771
   5.500   0.7800   0.01444   0.00769   0.0218   0.1825   0.9784
   5.750   0.8110   0.01461   0.00788   0.0210   0.1809   0.9800
   6.000   0.8405   0.01482   0.00810   0.0205   0.1796   0.9821
