  
       XFOIL         Version 6.99
  
 Calculated polar for: MB253515 15.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0116   0.00788   0.00242  -0.0411   0.6948   0.6104
  -1.750   0.0338   0.00773   0.00240  -0.0399   0.6877   0.6579
  -1.500   0.0580   0.00768   0.00238  -0.0390   0.6825   0.6930
  -1.250   0.0819   0.00760   0.00240  -0.0381   0.6767   0.7244
  -1.000   0.1074   0.00758   0.00238  -0.0376   0.6714   0.7439
  -0.750   0.1331   0.00758   0.00238  -0.0371   0.6660   0.7621
  -0.500   0.1587   0.00757   0.00238  -0.0366   0.6602   0.7790
  -0.250   0.1843   0.00758   0.00240  -0.0360   0.6554   0.7984
   0.000   0.2093   0.00758   0.00245  -0.0353   0.6497   0.8180
   0.250   0.2350   0.00759   0.00247  -0.0348   0.6440   0.8336
   0.500   0.2617   0.00762   0.00249  -0.0345   0.6385   0.8452
   0.750   0.2882   0.00762   0.00252  -0.0342   0.6326   0.8561
   1.000   0.3147   0.00767   0.00253  -0.0340   0.6273   0.8675
   1.500   0.3683   0.00771   0.00260  -0.0335   0.6149   0.8895
   1.750   0.3961   0.00775   0.00266  -0.0335   0.6087   0.8999
   2.000   0.4235   0.00780   0.00271  -0.0334   0.6021   0.9108
   2.250   0.4507   0.00786   0.00278  -0.0333   0.5955   0.9225
   2.500   0.4835   0.00795   0.00287  -0.0343   0.5881   0.9303
   2.750   0.5141   0.00803   0.00296  -0.0350   0.5810   0.9389
   3.000   0.5481   0.00814   0.00306  -0.0364   0.5730   0.9449
   3.250   0.5794   0.00824   0.00316  -0.0373   0.5645   0.9522
   3.500   0.6164   0.00838   0.00328  -0.0394   0.5556   0.9558
   3.750   0.6512   0.00850   0.00340  -0.0411   0.5453   0.9608
   4.000   0.6858   0.00863   0.00352  -0.0427   0.5348   0.9652
   4.250   0.7237   0.00878   0.00367  -0.0452   0.5234   0.9677
   4.500   0.7590   0.00893   0.00381  -0.0470   0.5112   0.9716
   4.750   0.7919   0.00910   0.00396  -0.0484   0.4977   0.9764
   5.000   0.8287   0.00928   0.00412  -0.0506   0.4819   0.9793
   5.250   0.8626   0.00948   0.00430  -0.0523   0.4660   0.9837
   5.750   0.9309   0.01006   0.00471  -0.0560   0.4195   0.9911
   6.000   0.9642   0.01039   0.00496  -0.0577   0.3961   0.9951
