  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 113  14.62%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6674   0.00967   0.00338  -0.1940   0.7135   0.1730
  -1.750   0.6944   0.00951   0.00337  -0.1940   0.7074   0.2139
  -1.500   0.7225   0.00937   0.00334  -0.1941   0.7015   0.2646
  -1.250   0.7511   0.00929   0.00333  -0.1943   0.6960   0.3133
  -1.000   0.7781   0.00920   0.00335  -0.1942   0.6895   0.3572
  -0.500   0.8335   0.00911   0.00338  -0.1941   0.6773   0.4407
  -0.250   0.8607   0.00908   0.00342  -0.1940   0.6707   0.4835
   0.000   0.8883   0.00909   0.00346  -0.1939   0.6645   0.5237
   0.250   0.9147   0.00907   0.00353  -0.1936   0.6574   0.5617
   0.500   0.9416   0.00910   0.00357  -0.1933   0.6508   0.5985
   0.750   0.9677   0.00910   0.00366  -0.1930   0.6436   0.6344
   1.000   0.9938   0.00914   0.00372  -0.1925   0.6364   0.6708
   1.250   1.0194   0.00916   0.00381  -0.1920   0.6292   0.7071
   1.500   1.0443   0.00919   0.00390  -0.1914   0.6217   0.7459
   1.750   1.0683   0.00922   0.00400  -0.1905   0.6143   0.7894
   2.000   1.0897   0.00921   0.00409  -0.1890   0.6064   0.8427
   2.250   1.1047   0.00907   0.00408  -0.1860   0.5992   0.9718
   2.500   1.1308   0.00920   0.00416  -0.1857   0.5907   1.0000
   2.750   1.1563   0.00937   0.00425  -0.1853   0.5828   1.0000
   3.000   1.1810   0.00953   0.00436  -0.1848   0.5742   1.0000
   3.250   1.2056   0.00971   0.00448  -0.1842   0.5659   1.0000
   3.500   1.2294   0.00990   0.00461  -0.1835   0.5573   1.0000
   3.750   1.2531   0.01008   0.00475  -0.1827   0.5486   1.0000
   4.000   1.2756   0.01031   0.00491  -0.1818   0.5399   1.0000
   4.250   1.2985   0.01049   0.00508  -0.1809   0.5310   1.0000
   4.500   1.3192   0.01074   0.00525  -0.1796   0.5223   1.0000
   4.750   1.3397   0.01094   0.00543  -0.1783   0.5131   1.0000
   5.000   1.3593   0.01120   0.00565  -0.1768   0.5044   1.0000
   5.250   1.3787   0.01146   0.00587  -0.1753   0.4952   1.0000
   5.500   1.3980   0.01173   0.00611  -0.1738   0.4862   1.0000
   5.750   1.4158   0.01206   0.00639  -0.1720   0.4770   1.0000
   6.000   1.4352   0.01234   0.00666  -0.1706   0.4680   1.0000
