  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 43  8.5%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0727   0.00697   0.00181  -0.0261   0.7878   0.4782
  -1.750  -0.0481   0.00654   0.00173  -0.0254   0.7785   0.5928
  -1.500  -0.0234   0.00622   0.00168  -0.0246   0.7687   0.6867
  -1.250   0.0011   0.00597   0.00165  -0.0236   0.7590   0.7659
  -1.000   0.0254   0.00579   0.00161  -0.0225   0.7497   0.8313
  -0.750   0.0501   0.00569   0.00159  -0.0213   0.7406   0.8866
  -0.500   0.0801   0.00564   0.00157  -0.0213   0.7306   0.9330
  -0.250   0.1195   0.00565   0.00152  -0.0235   0.7204   0.9629
   0.000   0.1599   0.00569   0.00148  -0.0261   0.7101   0.9821
   0.250   0.2021   0.00572   0.00143  -0.0292   0.6995   0.9942
   0.500   0.2378   0.00575   0.00138  -0.0309   0.6889   1.0000
   0.750   0.2630   0.00579   0.00135  -0.0303   0.6782   1.0000
   1.000   0.2885   0.00584   0.00134  -0.0299   0.6670   1.0000
   1.250   0.3142   0.00589   0.00135  -0.0294   0.6558   1.0000
   1.500   0.3401   0.00595   0.00137  -0.0290   0.6441   1.0000
   1.750   0.3661   0.00602   0.00138  -0.0285   0.6321   1.0000
   2.000   0.3922   0.00609   0.00142  -0.0281   0.6197   1.0000
   2.250   0.4185   0.00617   0.00145  -0.0278   0.6064   1.0000
   2.500   0.4448   0.00626   0.00150  -0.0274   0.5923   1.0000
   2.750   0.4712   0.00636   0.00158  -0.0271   0.5772   1.0000
   3.000   0.4977   0.00647   0.00165  -0.0268   0.5612   1.0000
   3.250   0.5243   0.00658   0.00174  -0.0265   0.5435   1.0000
   3.500   0.5507   0.00672   0.00185  -0.0262   0.5243   1.0000
   3.750   0.5772   0.00687   0.00196  -0.0259   0.5021   1.0000
   4.000   0.6035   0.00705   0.00208  -0.0257   0.4770   1.0000
   4.250   0.6297   0.00728   0.00223  -0.0254   0.4482   1.0000
   4.500   0.6557   0.00753   0.00241  -0.0251   0.4152   1.0000
   4.750   0.6814   0.00785   0.00264  -0.0248   0.3784   1.0000
   5.000   0.7067   0.00825   0.00289  -0.0245   0.3356   1.0000
   5.250   0.7316   0.00872   0.00319  -0.0242   0.2886   1.0000
   5.500   0.7559   0.00929   0.00354  -0.0239   0.2368   1.0000
   5.750   0.7802   0.00985   0.00392  -0.0236   0.1918   1.0000
   6.000   0.8043   0.01046   0.00434  -0.0232   0.1484   1.0000
