  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 45  9.85%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1422   0.00768   0.00215  -0.0032   0.7324   0.4339
  -1.750  -0.1155   0.00739   0.00206  -0.0029   0.7238   0.4949
  -1.500  -0.0890   0.00717   0.00196  -0.0024   0.7159   0.5496
  -1.250  -0.0627   0.00693   0.00187  -0.0020   0.7072   0.6066
  -0.750  -0.0120   0.00641   0.00175  -0.0004   0.6899   0.7420
  -0.500   0.0123   0.00611   0.00172   0.0007   0.6803   0.8252
  -0.250   0.0450   0.00591   0.00172   0.0003   0.6704   0.9126
   0.000   0.0976   0.00593   0.00170  -0.0046   0.6591   0.9608
   0.250   0.1420   0.00598   0.00167  -0.0079   0.6474   0.9826
   0.500   0.1852   0.00603   0.00163  -0.0111   0.6349   0.9966
   0.750   0.2188   0.00606   0.00157  -0.0123   0.6219   1.0000
   1.000   0.2451   0.00610   0.00154  -0.0119   0.6089   1.0000
   1.250   0.2715   0.00616   0.00152  -0.0115   0.5950   1.0000
   1.500   0.2981   0.00622   0.00151  -0.0112   0.5802   1.0000
   1.750   0.3248   0.00629   0.00152  -0.0109   0.5645   1.0000
   2.000   0.3515   0.00638   0.00154  -0.0106   0.5481   1.0000
   2.250   0.3782   0.00648   0.00157  -0.0103   0.5309   1.0000
   2.500   0.4050   0.00660   0.00161  -0.0101   0.5132   1.0000
   2.750   0.4318   0.00673   0.00166  -0.0098   0.4946   1.0000
   3.000   0.4586   0.00688   0.00174  -0.0096   0.4758   1.0000
   3.250   0.4855   0.00703   0.00183  -0.0094   0.4574   1.0000
   3.500   0.5123   0.00719   0.00193  -0.0092   0.4389   1.0000
   3.750   0.5390   0.00738   0.00205  -0.0090   0.4204   1.0000
   4.000   0.5658   0.00756   0.00218  -0.0088   0.4017   1.0000
   4.250   0.5925   0.00776   0.00232  -0.0086   0.3829   1.0000
   4.500   0.6191   0.00797   0.00247  -0.0084   0.3644   1.0000
   4.750   0.6457   0.00820   0.00265  -0.0082   0.3448   1.0000
   5.000   0.6721   0.00845   0.00284  -0.0080   0.3252   1.0000
   5.250   0.6986   0.00869   0.00303  -0.0078   0.3050   1.0000
   5.500   0.7248   0.00897   0.00326  -0.0076   0.2856   1.0000
   5.750   0.7510   0.00927   0.00350  -0.0074   0.2636   1.0000
   6.000   0.7770   0.00959   0.00376  -0.0072   0.2426   1.0000
