  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 80  12.72%                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1049   0.01024   0.00286   0.0121   0.4504   0.1643
  -1.750  -0.0784   0.00987   0.00272   0.0123   0.4410   0.2343
  -1.500  -0.0528   0.00938   0.00258   0.0127   0.4318   0.3415
  -1.250  -0.0299   0.00862   0.00246   0.0135   0.4236   0.5168
  -1.000  -0.0104   0.00781   0.00239   0.0153   0.4155   0.7185
  -0.750   0.0109   0.00754   0.00254   0.0175   0.4075   0.8524
  -0.500   0.0350   0.00765   0.00267   0.0192   0.3992   0.9050
  -0.250   0.0614   0.00776   0.00274   0.0202   0.3912   0.9270
   0.000   0.0893   0.00792   0.00278   0.0207   0.3836   0.9415
   0.250   0.1203   0.00803   0.00284   0.0206   0.3759   0.9525
   0.500   0.1518   0.00819   0.00287   0.0203   0.3681   0.9619
   0.750   0.1919   0.00832   0.00292   0.0182   0.3600   0.9673
   1.000   0.2276   0.00849   0.00297   0.0168   0.3527   0.9736
   1.250   0.2748   0.00860   0.00301   0.0131   0.3452   0.9766
   1.500   0.3211   0.00880   0.00308   0.0095   0.3377   0.9830
   1.750   0.3705   0.00888   0.00310   0.0053   0.3303   0.9881
   2.000   0.4148   0.00900   0.00312   0.0020   0.3238   0.9933
   2.250   0.4578   0.00906   0.00312  -0.0010   0.3180   0.9971
   2.500   0.4968   0.00911   0.00312  -0.0033   0.3122   1.0000
   2.750   0.5218   0.00925   0.00317  -0.0029   0.3071   1.0000
   3.000   0.5470   0.00929   0.00321  -0.0024   0.3030   1.0000
   3.250   0.5722   0.00937   0.00327  -0.0018   0.2988   1.0000
   3.500   0.5971   0.00950   0.00334  -0.0013   0.2946   1.0000
   3.750   0.6219   0.00964   0.00345  -0.0008   0.2905   1.0000
   4.000   0.6468   0.00972   0.00355  -0.0002   0.2867   1.0000
   4.250   0.6715   0.00985   0.00365   0.0003   0.2828   1.0000
   4.500   0.6959   0.01004   0.00378   0.0009   0.2791   1.0000
   4.750   0.7204   0.01019   0.00393   0.0015   0.2757   1.0000
   5.000   0.7450   0.01031   0.00407   0.0022   0.2722   1.0000
   5.250   0.7693   0.01045   0.00421   0.0028   0.2686   1.0000
   5.500   0.7932   0.01066   0.00438   0.0035   0.2652   1.0000
   5.750   0.8171   0.01089   0.00460   0.0041   0.2621   1.0000
   6.000   0.8414   0.01102   0.00477   0.0048   0.2589   1.0000
