  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 81  13%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0312   0.01085   0.00306  -0.0030   0.4475   0.0589
  -1.750  -0.0047   0.01033   0.00287  -0.0028   0.4384   0.1439
  -1.500   0.0225   0.01002   0.00275  -0.0026   0.4301   0.2085
  -1.250   0.0491   0.00962   0.00264  -0.0024   0.4219   0.3003
  -1.000   0.0739   0.00899   0.00256  -0.0020   0.4144   0.4598
  -0.750   0.0959   0.00824   0.00250  -0.0008   0.4068   0.6610
  -0.500   0.1149   0.00774   0.00263   0.0018   0.4000   0.8461
  -0.250   0.1385   0.00778   0.00274   0.0036   0.3924   0.9143
   0.000   0.1666   0.00790   0.00279   0.0042   0.3853   0.9398
   0.250   0.1979   0.00800   0.00282   0.0041   0.3780   0.9572
   0.500   0.2348   0.00817   0.00285   0.0026   0.3708   0.9683
   0.750   0.2753   0.00827   0.00287   0.0004   0.3632   0.9759
   1.000   0.3180   0.00843   0.00289  -0.0025   0.3557   0.9814
   1.250   0.3603   0.00851   0.00290  -0.0052   0.3490   0.9865
   1.500   0.4065   0.00865   0.00292  -0.0088   0.3422   0.9924
   1.750   0.4589   0.00870   0.00290  -0.0137   0.3353   0.9990
   2.000   0.4886   0.00879   0.00291  -0.0141   0.3298   1.0000
   2.250   0.5133   0.00893   0.00297  -0.0135   0.3250   1.0000
   2.500   0.5383   0.00899   0.00302  -0.0129   0.3207   1.0000
   2.750   0.5630   0.00909   0.00308  -0.0123   0.3163   1.0000
   3.000   0.5875   0.00926   0.00317  -0.0117   0.3118   1.0000
   3.250   0.6123   0.00937   0.00326  -0.0111   0.3078   1.0000
   3.500   0.6372   0.00948   0.00335  -0.0104   0.3038   1.0000
   3.750   0.6618   0.00962   0.00346  -0.0098   0.3000   1.0000
   4.000   0.6860   0.00986   0.00362  -0.0091   0.2960   1.0000
   4.250   0.7110   0.00996   0.00374  -0.0085   0.2928   1.0000
   4.500   0.7359   0.01009   0.00387  -0.0079   0.2891   1.0000
   4.750   0.7607   0.01026   0.00400  -0.0074   0.2856   1.0000
   5.000   0.7852   0.01051   0.00419  -0.0068   0.2821   1.0000
   5.250   0.8103   0.01068   0.00437  -0.0062   0.2791   1.0000
   5.500   0.8358   0.01082   0.00453  -0.0058   0.2758   1.0000
   5.750   0.8611   0.01099   0.00470  -0.0053   0.2725   1.0000
   6.000   0.8862   0.01122   0.00489  -0.0049   0.2695   1.0000
