  
       XFOIL         Version 6.99
  
 Calculated polar for: MRC-20                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2098   0.01015   0.00343  -0.0877   0.8317   0.0477
  -1.750   0.2160   0.00825   0.00289  -0.0843   0.8235   0.4670
  -1.500   0.2370   0.00791   0.00286  -0.0830   0.8158   0.5718
  -1.250   0.2624   0.00777   0.00279  -0.0824   0.8084   0.6116
  -1.000   0.2871   0.00770   0.00276  -0.0817   0.8002   0.6401
  -0.500   0.3369   0.00757   0.00273  -0.0803   0.7833   0.6973
  -0.250   0.3638   0.00754   0.00267  -0.0801   0.7750   0.7133
   0.000   0.3896   0.00751   0.00263  -0.0797   0.7654   0.7239
   0.250   0.4157   0.00750   0.00259  -0.0794   0.7557   0.7356
   0.500   0.4424   0.00749   0.00256  -0.0792   0.7463   0.7484
   0.750   0.4674   0.00748   0.00256  -0.0786   0.7354   0.7622
   1.000   0.4925   0.00749   0.00257  -0.0781   0.7248   0.7776
   1.250   0.5177   0.00750   0.00259  -0.0775   0.7142   0.7942
   1.500   0.5425   0.00753   0.00262  -0.0769   0.7032   0.8121
   1.750   0.5666   0.00756   0.00267  -0.0761   0.6915   0.8314
   2.000   0.5908   0.00761   0.00274  -0.0754   0.6801   0.8514
   2.250   0.6147   0.00767   0.00282  -0.0745   0.6686   0.8725
   2.500   0.6386   0.00777   0.00290  -0.0737   0.6567   0.8938
   2.750   0.6627   0.00787   0.00301  -0.0728   0.6442   0.9142
   3.000   0.6890   0.00801   0.00314  -0.0725   0.6317   0.9324
   3.250   0.7179   0.00817   0.00328  -0.0728   0.6190   0.9481
   3.500   0.7488   0.00836   0.00342  -0.0737   0.6058   0.9613
   3.750   0.7811   0.00857   0.00358  -0.0749   0.5921   0.9722
   4.000   0.8178   0.00879   0.00374  -0.0771   0.5776   0.9787
   4.250   0.8537   0.00902   0.00392  -0.0792   0.5627   0.9856
   4.500   0.8919   0.00925   0.00410  -0.0819   0.5472   0.9904
   4.750   0.9290   0.00950   0.00429  -0.0844   0.5313   0.9956
   5.000   0.9674   0.00975   0.00449  -0.0871   0.5148   0.9999
   5.250   0.9763   0.00991   0.00459  -0.0835   0.5020   1.0000
   5.500   0.9846   0.01008   0.00470  -0.0798   0.4892   1.0000
   5.750   0.9941   0.01024   0.00483  -0.0762   0.4763   1.0000
   6.000   1.0025   0.01040   0.00495  -0.0724   0.4636   1.0000
