  
       XFOIL         Version 6.99
  
 Calculated polar for: MUE 139                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2014   0.01228   0.00436  -0.0647   0.4559   0.0768
  -1.750   0.2275   0.01214   0.00423  -0.0641   0.4474   0.0793
  -1.500   0.2541   0.01211   0.00416  -0.0635   0.4390   0.0820
  -1.250   0.2811   0.01213   0.00410  -0.0629   0.4316   0.0846
  -1.000   0.3069   0.01191   0.00390  -0.0622   0.4245   0.0879
  -0.750   0.3331   0.01193   0.00387  -0.0616   0.4176   0.0912
  -0.500   0.3605   0.01190   0.00383  -0.0611   0.4112   0.0943
  -0.250   0.3862   0.01174   0.00367  -0.0604   0.4047   0.0983
   0.000   0.4126   0.01175   0.00366  -0.0598   0.3985   0.1025
   0.250   0.4394   0.01168   0.00359  -0.0593   0.3920   0.1067
   0.500   0.4651   0.01165   0.00353  -0.0586   0.3854   0.1118
   0.750   0.4920   0.01164   0.00352  -0.0580   0.3791   0.1169
   1.000   0.5180   0.01156   0.00347  -0.0574   0.3726   0.1236
   1.250   0.5438   0.01163   0.00348  -0.0567   0.3664   0.1303
   1.500   0.5704   0.01153   0.00346  -0.0562   0.3605   0.1403
   1.750   0.5962   0.01151   0.00346  -0.0555   0.3545   0.1545
   2.000   0.6208   0.01143   0.00350  -0.0547   0.3489   0.2028
   2.250   0.6439   0.01105   0.00362  -0.0538   0.3435   0.3720
   2.750   0.7749   0.01002   0.00400  -0.0695   0.3279   1.0000
   3.000   0.7991   0.01018   0.00409  -0.0685   0.3232   1.0000
   3.250   0.8226   0.01040   0.00421  -0.0675   0.3186   1.0000
   3.500   0.8473   0.01054   0.00433  -0.0666   0.3149   1.0000
   3.750   0.8719   0.01068   0.00444  -0.0657   0.3108   1.0000
   4.000   0.8959   0.01086   0.00457  -0.0648   0.3068   1.0000
   4.250   0.9191   0.01112   0.00474  -0.0637   0.3028   1.0000
   4.500   0.9437   0.01128   0.00490  -0.0628   0.2999   1.0000
   4.750   0.9683   0.01143   0.00504  -0.0620   0.2962   1.0000
   5.000   0.9923   0.01160   0.00517  -0.0611   0.2919   1.0000
   5.250   1.0152   0.01187   0.00536  -0.0600   0.2874   1.0000
   5.500   1.0395   0.01204   0.00553  -0.0592   0.2843   1.0000
   5.750   1.0638   0.01221   0.00571  -0.0583   0.2815   1.0000
   6.000   1.0878   0.01240   0.00589  -0.0575   0.2785   1.0000
