  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA-0009 9.0% smoothed                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2890   0.00695   0.00235   0.0117   0.9758   0.5741
  -1.750  -0.2518   0.00666   0.00227   0.0098   0.9718   0.6283
  -1.500  -0.2197   0.00638   0.00217   0.0090   0.9655   0.6804
  -1.250  -0.1862   0.00604   0.00212   0.0081   0.9604   0.7469
  -1.000  -0.1507   0.00577   0.00207   0.0068   0.9558   0.8048
  -0.750  -0.1161   0.00558   0.00201   0.0058   0.9478   0.8412
  -0.500  -0.0795   0.00546   0.00198   0.0043   0.9396   0.8722
  -0.250  -0.0389   0.00538   0.00195   0.0020   0.9303   0.8967
   0.000  -0.0000   0.00536   0.00195   0.0000   0.9157   0.9156
   0.250   0.0389   0.00538   0.00195  -0.0020   0.8966   0.9302
   0.500   0.0794   0.00546   0.00198  -0.0043   0.8720   0.9395
   0.750   0.1161   0.00558   0.00201  -0.0058   0.8414   0.9478
   1.000   0.1508   0.00576   0.00207  -0.0068   0.8051   0.9556
   1.250   0.1862   0.00604   0.00212  -0.0081   0.7467   0.9604
   1.500   0.2199   0.00637   0.00218  -0.0091   0.6819   0.9656
   1.750   0.2517   0.00666   0.00227  -0.0098   0.6294   0.9718
   2.000   0.2889   0.00696   0.00235  -0.0117   0.5730   0.9758
   2.250   0.3212   0.00730   0.00246  -0.0127   0.5128   0.9818
   2.500   0.3581   0.00759   0.00254  -0.0147   0.4564   0.9854
   2.750   0.3946   0.00792   0.00263  -0.0168   0.3928   0.9895
   3.000   0.4290   0.00832   0.00276  -0.0184   0.3243   0.9938
   3.250   0.4657   0.00868   0.00285  -0.0207   0.2571   0.9971
   3.500   0.5006   0.00912   0.00300  -0.0226   0.1882   1.0000
   3.750   0.5198   0.00955   0.00317  -0.0211   0.1342   1.0000
   4.000   0.5397   0.00994   0.00339  -0.0196   0.1004   1.0000
   4.250   0.5601   0.01029   0.00365  -0.0183   0.0841   1.0000
   4.500   0.5813   0.01055   0.00392  -0.0169   0.0757   1.0000
   4.750   0.6017   0.01092   0.00428  -0.0155   0.0690   1.0000
   5.000   0.6231   0.01118   0.00457  -0.0142   0.0641   1.0000
   5.250   0.6419   0.01176   0.00513  -0.0125   0.0583   1.0000
   5.500   0.6638   0.01198   0.00541  -0.0112   0.0560   1.0000
   5.750   0.6849   0.01231   0.00579  -0.0099   0.0530   1.0000
   6.000   0.7055   0.01270   0.00619  -0.0085   0.0497   1.0000
