  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2090   0.00696   0.00233  -0.0058   0.9349   0.5805
  -1.750  -0.1819   0.00678   0.00225  -0.0054   0.9224   0.6090
  -1.500  -0.1554   0.00662   0.00216  -0.0047   0.9083   0.6370
  -1.000  -0.1035   0.00637   0.00204  -0.0032   0.8754   0.6916
  -0.750  -0.0777   0.00628   0.00199  -0.0024   0.8567   0.7178
  -0.500  -0.0518   0.00623   0.00195  -0.0016   0.8369   0.7435
  -0.250  -0.0259   0.00618   0.00193  -0.0008   0.8151   0.7685
   0.000  -0.0000   0.00617   0.00192   0.0000   0.7922   0.7923
   0.250   0.0259   0.00618   0.00193   0.0008   0.7685   0.8151
   0.500   0.0518   0.00623   0.00195   0.0016   0.7436   0.8369
   0.750   0.0777   0.00628   0.00199   0.0024   0.7177   0.8566
   1.000   0.1035   0.00637   0.00204   0.0032   0.6917   0.8754
   1.250   0.1293   0.00649   0.00209   0.0040   0.6646   0.8927
   1.500   0.1554   0.00662   0.00216   0.0047   0.6370   0.9084
   1.750   0.1819   0.00678   0.00225   0.0054   0.6090   0.9223
   2.000   0.2090   0.00696   0.00233   0.0058   0.5806   0.9349
   2.250   0.2365   0.00716   0.00243   0.0062   0.5515   0.9466
   2.500   0.2663   0.00738   0.00254   0.0060   0.5211   0.9561
   2.750   0.2988   0.00761   0.00266   0.0052   0.4896   0.9631
   3.000   0.3315   0.00786   0.00280   0.0042   0.4573   0.9703
   3.250   0.3680   0.00812   0.00293   0.0024   0.4231   0.9745
   3.500   0.4065   0.00841   0.00307   0.0001   0.3871   0.9779
   3.750   0.4415   0.00870   0.00323  -0.0015   0.3524   0.9830
   4.000   0.4794   0.00900   0.00338  -0.0038   0.3158   0.9860
   4.250   0.5171   0.00932   0.00355  -0.0061   0.2791   0.9892
   4.500   0.5532   0.00966   0.00373  -0.0080   0.2442   0.9930
   4.750   0.5903   0.01000   0.00393  -0.0102   0.2097   0.9958
   5.000   0.6274   0.01037   0.00414  -0.0125   0.1774   0.9985
   5.250   0.6582   0.01072   0.00436  -0.0134   0.1513   1.0000
   5.500   0.6795   0.01104   0.00458  -0.0123   0.1313   1.0000
   5.750   0.7008   0.01135   0.00482  -0.0112   0.1147   1.0000
   6.000   0.7217   0.01168   0.00508  -0.0100   0.1006   1.0000
