  
       XFOIL         Version 6.99
  
 Calculated polar for: N-12                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2380   0.00820   0.00228   0.0036   0.9366   0.2868
  -1.750  -0.1978   0.00762   0.00208   0.0007   0.9279   0.3899
  -1.500  -0.1534   0.00712   0.00185  -0.0031   0.9150   0.4583
  -1.250  -0.1184   0.00646   0.00168  -0.0048   0.8990   0.5849
  -1.000  -0.0925   0.00614   0.00165  -0.0043   0.8827   0.6763
  -0.750  -0.0676   0.00597   0.00164  -0.0034   0.8672   0.7304
  -0.500  -0.0429   0.00588   0.00167  -0.0024   0.8509   0.7716
  -0.250  -0.0185   0.00584   0.00172  -0.0012   0.8337   0.8112
   0.000   0.0067   0.00586   0.00174  -0.0003   0.8144   0.8373
   0.250   0.0316   0.00588   0.00175   0.0007   0.7934   0.8567
   0.500   0.0580   0.00593   0.00176   0.0013   0.7690   0.8737
   0.750   0.0847   0.00599   0.00180   0.0020   0.7411   0.8967
   1.000   0.1156   0.00612   0.00184   0.0016   0.7022   0.9104
   1.250   0.1488   0.00638   0.00189   0.0006   0.6484   0.9189
   1.500   0.1787   0.00665   0.00196   0.0003   0.5981   0.9274
   1.750   0.2147   0.00697   0.00210  -0.0014   0.5476   0.9340
   2.000   0.2497   0.00737   0.00228  -0.0029   0.4873   0.9424
   2.250   0.2820   0.00795   0.00250  -0.0039   0.3975   0.9497
   2.500   0.3137   0.00843   0.00272  -0.0048   0.3397   0.9550
   2.750   0.3485   0.00876   0.00292  -0.0063   0.3090   0.9584
   3.250   0.4132   0.00931   0.00328  -0.0084   0.2616   0.9673
   3.500   0.4482   0.00957   0.00346  -0.0100   0.2376   0.9706
   3.750   0.4771   0.00988   0.00365  -0.0104   0.2034   0.9761
   4.000   0.5095   0.01065   0.00398  -0.0119   0.1100   0.9788
   4.250   0.5422   0.01108   0.00428  -0.0131   0.0738   0.9824
   4.500   0.5738   0.01153   0.00460  -0.0141   0.0547   0.9864
   4.750   0.6096   0.01188   0.00495  -0.0159   0.0503   0.9889
   5.000   0.6433   0.01234   0.00543  -0.0173   0.0469   0.9921
   5.250   0.6769   0.01272   0.00585  -0.0188   0.0453   0.9951
   5.500   0.7126   0.01309   0.00629  -0.0206   0.0438   0.9979
   5.750   0.7450   0.01349   0.00673  -0.0219   0.0420   1.0000
   6.000   0.7608   0.01386   0.00713  -0.0196   0.0404   1.0000
