  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1-H-15 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1482   0.01834   0.01142  -0.0581   0.6839   0.0424
  -1.750   0.1754   0.01769   0.01070  -0.0579   0.6833   0.0421
  -1.250   0.2270   0.01843   0.01152  -0.0599   0.6747   0.0424
  -1.000   0.2528   0.01808   0.01117  -0.0597   0.6737   0.0427
  -0.750   0.2784   0.01775   0.01082  -0.0593   0.6730   0.0430
  -0.500   0.3041   0.01746   0.01051  -0.0589   0.6723   0.0437
  -0.250   0.3302   0.01720   0.01024  -0.0585   0.6718   0.0444
   0.000   0.3548   0.01674   0.00978  -0.0578   0.6713   0.0456
   0.250   0.3807   0.01642   0.00945  -0.0574   0.6708   0.0469
   0.500   0.4072   0.01616   0.00919  -0.0570   0.6703   0.0488
   0.750   0.4340   0.01594   0.00896  -0.0567   0.6699   0.0504
   1.000   0.4605   0.01579   0.00880  -0.0564   0.6693   0.0535
