  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0289   0.00814   0.00248  -0.0540   0.7788   0.4290
  -1.750   0.0552   0.00800   0.00242  -0.0536   0.7650   0.4642
  -1.500   0.0815   0.00787   0.00237  -0.0531   0.7512   0.5018
  -1.250   0.1078   0.00776   0.00234  -0.0526   0.7372   0.5396
  -1.000   0.1339   0.00768   0.00231  -0.0521   0.7229   0.5773
  -0.750   0.1601   0.00761   0.00230  -0.0516   0.7082   0.6128
  -0.500   0.1863   0.00755   0.00231  -0.0510   0.6933   0.6468
  -0.250   0.2124   0.00750   0.00232  -0.0505   0.6786   0.6802
   0.000   0.2384   0.00747   0.00234  -0.0499   0.6641   0.7128
   0.250   0.2644   0.00746   0.00238  -0.0492   0.6499   0.7451
   0.500   0.2901   0.00746   0.00242  -0.0485   0.6358   0.7764
   0.750   0.3157   0.00748   0.00248  -0.0478   0.6219   0.8062
   1.000   0.3415   0.00751   0.00255  -0.0470   0.6080   0.8354
   1.250   0.3671   0.00756   0.00264  -0.0462   0.5948   0.8623
   1.500   0.3926   0.00765   0.00273  -0.0454   0.5820   0.8875
   1.750   0.4183   0.00777   0.00282  -0.0446   0.5692   0.9095
   2.000   0.4455   0.00788   0.00293  -0.0441   0.5563   0.9285
   2.250   0.4745   0.00803   0.00304  -0.0440   0.5439   0.9446
   2.500   0.5052   0.00820   0.00316  -0.0444   0.5317   0.9580
   2.750   0.5380   0.00838   0.00328  -0.0453   0.5192   0.9692
   3.000   0.5769   0.00854   0.00340  -0.0475   0.5062   0.9752
   3.250   0.6142   0.00872   0.00353  -0.0495   0.4934   0.9821
   3.500   0.6557   0.00890   0.00365  -0.0524   0.4798   0.9857
   3.750   0.6955   0.00910   0.00377  -0.0550   0.4657   0.9904
   4.000   0.7361   0.00927   0.00389  -0.0578   0.4513   0.9949
   4.250   0.7805   0.00944   0.00401  -0.0614   0.4361   0.9991
   4.500   0.8067   0.00956   0.00410  -0.0612   0.4228   1.0000
   4.750   0.8270   0.00970   0.00419  -0.0598   0.4101   1.0000
   5.000   0.8470   0.00986   0.00430  -0.0583   0.3969   1.0000
   5.250   0.8667   0.01004   0.00442  -0.0567   0.3828   1.0000
   5.500   0.8867   0.01023   0.00456  -0.0552   0.3678   1.0000
   5.750   0.9065   0.01044   0.00471  -0.0536   0.3522   1.0000
   6.000   0.9261   0.01067   0.00488  -0.0520   0.3364   1.0000
