  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63A010 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2120   0.00616   0.00187  -0.0036   0.9107   0.6969
  -1.750  -0.1861   0.00612   0.00183  -0.0029   0.8968   0.7174
  -1.500  -0.1599   0.00610   0.00179  -0.0024   0.8831   0.7344
  -1.250  -0.1336   0.00608   0.00175  -0.0019   0.8699   0.7494
  -1.000  -0.1071   0.00607   0.00172  -0.0014   0.8571   0.7628
  -0.500  -0.0537   0.00604   0.00167  -0.0007   0.8322   0.7852
  -0.250  -0.0269   0.00603   0.00165  -0.0003   0.8200   0.7965
   0.000   0.0000   0.00603   0.00165  -0.0000   0.8081   0.8081
   0.250   0.0269   0.00603   0.00165   0.0003   0.7965   0.8200
   0.500   0.0537   0.00604   0.00167   0.0006   0.7852   0.8322
   1.250   0.1336   0.00608   0.00175   0.0019   0.7494   0.8699
   1.500   0.1599   0.00610   0.00179   0.0024   0.7344   0.8831
   1.750   0.1861   0.00612   0.00183   0.0029   0.7174   0.8968
   2.000   0.2120   0.00616   0.00187   0.0036   0.6968   0.9107
   2.250   0.2379   0.00622   0.00190   0.0042   0.6701   0.9248
   2.500   0.2648   0.00631   0.00196   0.0046   0.6423   0.9383
   2.750   0.2939   0.00643   0.00204   0.0045   0.6154   0.9504
   3.000   0.3250   0.00659   0.00213   0.0039   0.5823   0.9605
   3.250   0.3565   0.00689   0.00223   0.0031   0.5207   0.9697
   3.500   0.3875   0.00749   0.00239   0.0020   0.4048   0.9781
   3.750   0.4188   0.00868   0.00280   0.0003   0.2189   0.9845
   4.000   0.4526   0.00975   0.00326  -0.0019   0.0864   0.9893
   4.250   0.4880   0.01046   0.00375  -0.0040   0.0437   0.9943
   4.500   0.5249   0.01108   0.00436  -0.0062   0.0321   0.9980
   4.750   0.5533   0.01170   0.00506  -0.0066   0.0289   1.0000
   5.000   0.5732   0.01211   0.00550  -0.0053   0.0271   1.0000
   5.250   0.5934   0.01255   0.00596  -0.0039   0.0255   1.0000
   5.500   0.6133   0.01310   0.00655  -0.0025   0.0245   1.0000
   5.750   0.6329   0.01380   0.00729  -0.0011   0.0236   1.0000
   6.000   0.6513   0.01484   0.00838   0.0005   0.0227   1.0000
