  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63012A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2188   0.00685   0.00207  -0.0014   0.8302   0.6675
  -1.750  -0.1919   0.00684   0.00204  -0.0011   0.8199   0.6810
  -1.500  -0.1648   0.00685   0.00200  -0.0009   0.8097   0.6938
  -1.250  -0.1376   0.00682   0.00198  -0.0007   0.7992   0.7045
  -1.000  -0.1101   0.00681   0.00196  -0.0005   0.7895   0.7138
  -0.750  -0.0826   0.00683   0.00192  -0.0004   0.7801   0.7235
  -0.500  -0.0551   0.00681   0.00191  -0.0002   0.7700   0.7326
  -0.250  -0.0276   0.00680   0.00190  -0.0001   0.7605   0.7417
   0.000  -0.0000   0.00683   0.00189   0.0000   0.7515   0.7515
   0.250   0.0275   0.00680   0.00190   0.0001   0.7417   0.7605
   0.500   0.0551   0.00681   0.00191   0.0003   0.7326   0.7699
   0.750   0.0826   0.00683   0.00192   0.0004   0.7235   0.7801
   1.000   0.1101   0.00681   0.00195   0.0005   0.7138   0.7894
   1.250   0.1375   0.00682   0.00198   0.0007   0.7045   0.7992
   1.750   0.1918   0.00684   0.00204   0.0011   0.6810   0.8199
   2.000   0.2188   0.00685   0.00207   0.0014   0.6675   0.8303
   2.250   0.2455   0.00687   0.00210   0.0018   0.6526   0.8412
   2.500   0.2721   0.00690   0.00214   0.0021   0.6361   0.8529
   2.750   0.2985   0.00692   0.00219   0.0026   0.6164   0.8649
   3.000   0.3247   0.00697   0.00225   0.0031   0.5974   0.8770
   3.250   0.3507   0.00704   0.00234   0.0036   0.5753   0.8897
   3.500   0.3766   0.00714   0.00243   0.0041   0.5528   0.9030
   3.750   0.4027   0.00725   0.00254   0.0046   0.5277   0.9165
   4.000   0.4286   0.00744   0.00266   0.0051   0.4901   0.9302
   4.250   0.4541   0.00783   0.00283   0.0055   0.4232   0.9436
   4.500   0.4788   0.00863   0.00315   0.0056   0.3052   0.9564
   4.750   0.5053   0.00966   0.00362   0.0051   0.1850   0.9676
   5.000   0.5353   0.01050   0.00409   0.0040   0.1059   0.9768
   5.250   0.5697   0.01120   0.00456   0.0020   0.0635   0.9828
   5.500   0.6053   0.01181   0.00509  -0.0000   0.0454   0.9878
   5.750   0.6413   0.01244   0.00571  -0.0022   0.0363   0.9925
   6.000   0.6773   0.01306   0.00632  -0.0043   0.0312   0.9967
