  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63-015A AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2236   0.00790   0.00249   0.0000   0.7489   0.6282
  -1.750  -0.1958   0.00789   0.00247   0.0001   0.7410   0.6372
  -1.500  -0.1680   0.00787   0.00243   0.0001   0.7335   0.6446
  -1.250  -0.1400   0.00786   0.00240   0.0001   0.7257   0.6524
  -1.000  -0.1121   0.00784   0.00237   0.0001   0.7184   0.6593
  -0.750  -0.0840   0.00783   0.00235   0.0001   0.7108   0.6669
  -0.500  -0.0561   0.00782   0.00233   0.0000   0.7035   0.6739
  -0.250  -0.0280   0.00782   0.00233   0.0000   0.6961   0.6814
   0.000   0.0000   0.00781   0.00232  -0.0000   0.6886   0.6886
   0.250   0.0280   0.00782   0.00233  -0.0000   0.6814   0.6960
   0.500   0.0561   0.00782   0.00233  -0.0000   0.6739   0.7035
   0.750   0.0841   0.00783   0.00235  -0.0001   0.6669   0.7108
   1.000   0.1121   0.00784   0.00237  -0.0001   0.6593   0.7184
   1.250   0.1400   0.00786   0.00240  -0.0001   0.6524   0.7258
   1.500   0.1681   0.00787   0.00243  -0.0001   0.6446   0.7335
   1.750   0.1959   0.00789   0.00247  -0.0001   0.6373   0.7409
   2.000   0.2237   0.00790   0.00249  -0.0001   0.6282   0.7489
   2.250   0.2512   0.00790   0.00254   0.0000   0.6187   0.7565
   2.500   0.2787   0.00795   0.00256   0.0002   0.6090   0.7647
   2.750   0.3061   0.00794   0.00261   0.0003   0.5980   0.7725
   3.000   0.3334   0.00796   0.00265   0.0004   0.5857   0.7809
   3.250   0.3604   0.00798   0.00270   0.0006   0.5728   0.7894
   3.500   0.3876   0.00803   0.00276   0.0008   0.5621   0.7979
   3.750   0.4146   0.00807   0.00284   0.0010   0.5504   0.8072
   4.000   0.4417   0.00810   0.00293   0.0012   0.5378   0.8161
   4.250   0.4683   0.00817   0.00301   0.0014   0.5225   0.8263
   4.500   0.4941   0.00825   0.00310   0.0019   0.5034   0.8362
   4.750   0.5203   0.00833   0.00322   0.0022   0.4836   0.8467
   5.000   0.5457   0.00846   0.00335   0.0027   0.4612   0.8583
   5.250   0.5704   0.00864   0.00350   0.0033   0.4320   0.8705
   5.500   0.5933   0.00894   0.00370   0.0042   0.3876   0.8835
   5.750   0.6128   0.00953   0.00402   0.0055   0.3154   0.8980
   6.000   0.6303   0.01033   0.00448   0.0071   0.2379   0.9142
