  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63-215 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0597   0.00810   0.00255  -0.0374   0.7023   0.5944
  -1.750  -0.0306   0.00808   0.00251  -0.0376   0.6957   0.6014
  -1.500  -0.0017   0.00806   0.00249  -0.0378   0.6894   0.6080
  -1.250   0.0275   0.00809   0.00245  -0.0380   0.6836   0.6151
  -1.000   0.0563   0.00805   0.00245  -0.0382   0.6771   0.6212
  -0.750   0.0853   0.00808   0.00242  -0.0384   0.6713   0.6283
  -0.500   0.1143   0.00806   0.00243  -0.0386   0.6650   0.6344
  -0.250   0.1433   0.00807   0.00243  -0.0388   0.6589   0.6409
   0.000   0.1724   0.00811   0.00243  -0.0390   0.6533   0.6474
   0.250   0.2013   0.00809   0.00246  -0.0392   0.6469   0.6533
   0.500   0.2303   0.00814   0.00246  -0.0394   0.6411   0.6601
   0.750   0.2592   0.00815   0.00250  -0.0396   0.6351   0.6660
   1.000   0.2881   0.00816   0.00253  -0.0398   0.6287   0.6723
   1.250   0.3171   0.00823   0.00256  -0.0400   0.6230   0.6790
   1.500   0.3458   0.00822   0.00262  -0.0401   0.6163   0.6851
   1.750   0.3747   0.00828   0.00266  -0.0403   0.6103   0.6920
   2.000   0.4034   0.00830   0.00273  -0.0405   0.6041   0.6980
   2.250   0.4322   0.00834   0.00279  -0.0406   0.5975   0.7049
   2.500   0.4609   0.00841   0.00286  -0.0408   0.5915   0.7116
   2.750   0.4894   0.00843   0.00294  -0.0409   0.5839   0.7180
   3.000   0.5179   0.00850   0.00299  -0.0410   0.5754   0.7253
   3.250   0.5459   0.00851   0.00306  -0.0410   0.5658   0.7315
   3.500   0.5744   0.00858   0.00315  -0.0411   0.5578   0.7389
   3.750   0.6023   0.00863   0.00322  -0.0411   0.5482   0.7454
   4.000   0.6302   0.00867   0.00330  -0.0411   0.5356   0.7526
   4.250   0.6578   0.00873   0.00338  -0.0410   0.5215   0.7597
   4.500   0.6850   0.00881   0.00347  -0.0409   0.5058   0.7668
   4.750   0.7127   0.00891   0.00359  -0.0409   0.4922   0.7742
   5.000   0.7397   0.00901   0.00373  -0.0407   0.4775   0.7812
   5.250   0.7667   0.00916   0.00386  -0.0406   0.4599   0.7892
   5.500   0.7927   0.00933   0.00404  -0.0403   0.4401   0.7962
   5.750   0.8186   0.00957   0.00423  -0.0401   0.4133   0.8044
   6.000   0.8422   0.00991   0.00448  -0.0394   0.3742   0.8119
