  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63(2)-215 MOD B                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0397   0.00805   0.00283  -0.0287   0.7072   0.5891
  -1.750  -0.0108   0.00805   0.00279  -0.0286   0.6983   0.5980
  -1.500   0.0183   0.00801   0.00275  -0.0287   0.6890   0.6046
  -1.250   0.0472   0.00802   0.00271  -0.0286   0.6804   0.6120
  -1.000   0.0765   0.00799   0.00269  -0.0286   0.6705   0.6190
  -0.750   0.1056   0.00798   0.00267  -0.0286   0.6613   0.6252
  -0.500   0.1348   0.00800   0.00263  -0.0287   0.6508   0.6316
  -0.250   0.1636   0.00797   0.00261  -0.0286   0.6382   0.6371
   0.000   0.1925   0.00800   0.00259  -0.0286   0.6235   0.6439
   0.250   0.2211   0.00802   0.00257  -0.0285   0.6054   0.6503
   0.500   0.2493   0.00806   0.00257  -0.0283   0.5807   0.6564
   1.000   0.3026   0.00848   0.00260  -0.0277   0.4721   0.6689
   1.250   0.3245   0.00930   0.00286  -0.0269   0.3545   0.6753
   1.500   0.3510   0.00962   0.00304  -0.0267   0.3259   0.6813
   1.750   0.3781   0.00985   0.00320  -0.0265   0.3028   0.6875
   2.000   0.4057   0.01009   0.00332  -0.0265   0.2840   0.6943
   2.250   0.4329   0.01026   0.00347  -0.0263   0.2687   0.7002
   2.500   0.4605   0.01046   0.00360  -0.0262   0.2550   0.7077
   2.750   0.4879   0.01062   0.00375  -0.0261   0.2428   0.7146
   3.000   0.5153   0.01082   0.00391  -0.0260   0.2325   0.7221
   3.250   0.5421   0.01104   0.00408  -0.0258   0.2226   0.7287
   3.500   0.5696   0.01119   0.00425  -0.0256   0.2144   0.7354
   3.750   0.5963   0.01145   0.00444  -0.0255   0.2062   0.7424
   4.000   0.6235   0.01159   0.00462  -0.0253   0.1994   0.7489
   4.500   0.6768   0.01200   0.00503  -0.0248   0.1869   0.7632
   4.750   0.7035   0.01223   0.00522  -0.0246   0.1810   0.7709
   5.000   0.7290   0.01248   0.00548  -0.0242   0.1755   0.7774
   5.250   0.7560   0.01264   0.00567  -0.0240   0.1705   0.7851
   5.500   0.7815   0.01288   0.00590  -0.0236   0.1653   0.7925
   5.750   0.8070   0.01315   0.00618  -0.0233   0.1605   0.8010
   6.000   0.8330   0.01330   0.00638  -0.0229   0.1558   0.8085
