  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2312   0.00829   0.00269   0.0019   0.6978   0.6150
  -1.750  -0.2025   0.00826   0.00263   0.0017   0.6921   0.6197
  -1.500  -0.1736   0.00823   0.00260   0.0015   0.6857   0.6249
  -1.250  -0.1447   0.00824   0.00255   0.0012   0.6802   0.6304
  -1.000  -0.1158   0.00820   0.00251   0.0010   0.6747   0.6346
  -0.750  -0.0868   0.00817   0.00249   0.0007   0.6689   0.6389
  -0.500  -0.0579   0.00819   0.00246   0.0005   0.6640   0.6438
  -0.250  -0.0289   0.00818   0.00244   0.0002   0.6588   0.6485
   0.000   0.0000   0.00815   0.00245  -0.0000   0.6534   0.6533
   0.250   0.0289   0.00818   0.00244  -0.0002   0.6485   0.6588
   0.500   0.0579   0.00819   0.00246  -0.0005   0.6438   0.6640
   0.750   0.0868   0.00817   0.00249  -0.0007   0.6389   0.6690
   1.000   0.1158   0.00820   0.00251  -0.0010   0.6346   0.6747
   1.250   0.1447   0.00824   0.00255  -0.0012   0.6303   0.6802
   1.500   0.1736   0.00823   0.00260  -0.0015   0.6249   0.6858
   1.750   0.2025   0.00826   0.00263  -0.0017   0.6197   0.6921
   2.000   0.2312   0.00829   0.00269  -0.0018   0.6150   0.6978
   2.250   0.2601   0.00831   0.00277  -0.0021   0.6101   0.7044
   2.500   0.2888   0.00833   0.00281  -0.0023   0.6042   0.7109
   2.750   0.3170   0.00831   0.00284  -0.0023   0.5948   0.7171
   3.000   0.3453   0.00832   0.00282  -0.0023   0.5828   0.7242
   3.250   0.3731   0.00830   0.00283  -0.0023   0.5710   0.7303
   3.500   0.4013   0.00830   0.00286  -0.0023   0.5573   0.7374
   3.750   0.4295   0.00830   0.00292  -0.0024   0.5453   0.7439
   4.000   0.4576   0.00834   0.00301  -0.0024   0.5351   0.7511
   4.250   0.4856   0.00839   0.00309  -0.0025   0.5224   0.7581
   4.500   0.5132   0.00845   0.00319  -0.0024   0.5070   0.7654
   4.750   0.5407   0.00854   0.00328  -0.0024   0.4865   0.7730
   5.000   0.5670   0.00869   0.00341  -0.0021   0.4538   0.7804
   5.250   0.5890   0.00928   0.00364  -0.0015   0.3617   0.7883
   5.500   0.6056   0.01044   0.00427  -0.0003   0.2438   0.7960
   5.750   0.6238   0.01145   0.00487   0.0007   0.1561   0.8042
   6.000   0.6429   0.01226   0.00541   0.0017   0.0986   0.8122
