  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 642-015A AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2247   0.00799   0.00259   0.0007   0.7486   0.6459
  -1.750  -0.1968   0.00797   0.00257   0.0006   0.7409   0.6530
  -1.500  -0.1688   0.00797   0.00250   0.0006   0.7343   0.6589
  -1.250  -0.1407   0.00792   0.00248   0.0005   0.7269   0.6643
  -1.000  -0.1126   0.00793   0.00243   0.0004   0.7201   0.6705
  -0.750  -0.0845   0.00790   0.00241   0.0003   0.7134   0.6760
  -0.500  -0.0563   0.00789   0.00239   0.0002   0.7068   0.6818
  -0.250  -0.0281   0.00791   0.00237   0.0001   0.7009   0.6883
   0.000  -0.0000   0.00787   0.00238   0.0000   0.6941   0.6941
   0.250   0.0281   0.00791   0.00237  -0.0001   0.6883   0.7009
   0.500   0.0563   0.00789   0.00239  -0.0002   0.6818   0.7068
   0.750   0.0844   0.00790   0.00241  -0.0003   0.6760   0.7134
   1.000   0.1126   0.00793   0.00243  -0.0004   0.6705   0.7202
   1.250   0.1407   0.00792   0.00248  -0.0005   0.6643   0.7269
   1.500   0.1688   0.00797   0.00250  -0.0006   0.6589   0.7344
   1.750   0.1968   0.00797   0.00257  -0.0006   0.6529   0.7409
   2.000   0.2247   0.00799   0.00259  -0.0006   0.6459   0.7486
   2.250   0.2523   0.00799   0.00264  -0.0006   0.6377   0.7552
   2.500   0.2798   0.00801   0.00265  -0.0005   0.6286   0.7631
   2.750   0.3070   0.00798   0.00268  -0.0003   0.6176   0.7704
   3.000   0.3338   0.00799   0.00270  -0.0001   0.6040   0.7788
   3.250   0.3607   0.00799   0.00273   0.0001   0.5915   0.7863
   3.500   0.3878   0.00805   0.00278   0.0003   0.5820   0.7948
   3.750   0.4148   0.00805   0.00286   0.0005   0.5693   0.8025
   4.000   0.4415   0.00810   0.00292   0.0007   0.5550   0.8116
   4.250   0.4680   0.00813   0.00301   0.0010   0.5405   0.8202
   4.500   0.4942   0.00820   0.00311   0.0013   0.5234   0.8296
   4.750   0.5199   0.00829   0.00321   0.0017   0.4998   0.8394
   5.000   0.5441   0.00847   0.00333   0.0024   0.4634   0.8491
   5.250   0.5639   0.00896   0.00355   0.0037   0.3799   0.8604
   5.750   0.5947   0.01084   0.00458   0.0073   0.1847   0.8865
   6.000   0.6128   0.01156   0.00505   0.0088   0.1266   0.9007
