  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA6409 9%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4710   0.00870   0.00245  -0.1518   0.7935   0.0747
  -1.750   0.4974   0.00859   0.00231  -0.1514   0.7831   0.0866
  -1.500   0.5236   0.00849   0.00220  -0.1510   0.7723   0.1000
  -1.250   0.5500   0.00842   0.00213  -0.1506   0.7618   0.1168
  -1.000   0.5762   0.00837   0.00206  -0.1502   0.7510   0.1372
  -0.750   0.6022   0.00831   0.00202  -0.1497   0.7395   0.1600
  -0.500   0.6279   0.00827   0.00199  -0.1492   0.7272   0.1849
  -0.250   0.6536   0.00824   0.00199  -0.1487   0.7149   0.2139
   0.000   0.6791   0.00822   0.00200  -0.1482   0.7024   0.2462
   0.250   0.7045   0.00820   0.00202  -0.1477   0.6897   0.2848
   0.500   0.7295   0.00815   0.00205  -0.1472   0.6768   0.3402
   0.750   0.7449   0.00716   0.00224  -0.1448   0.6648   0.8022
   1.250   0.8108   0.00719   0.00228  -0.1469   0.6389   1.0000
   1.500   0.8358   0.00735   0.00234  -0.1462   0.6267   1.0000
   1.750   0.8608   0.00750   0.00241  -0.1456   0.6147   1.0000
   2.000   0.8860   0.00765   0.00249  -0.1451   0.6035   1.0000
   2.250   0.9111   0.00781   0.00258  -0.1445   0.5930   1.0000
   2.500   0.9361   0.00799   0.00268  -0.1439   0.5833   1.0000
   2.750   0.9613   0.00815   0.00279  -0.1434   0.5738   1.0000
   3.000   0.9866   0.00831   0.00291  -0.1429   0.5651   1.0000
   3.250   1.0115   0.00851   0.00304  -0.1423   0.5571   1.0000
   3.500   1.0370   0.00865   0.00319  -0.1419   0.5491   1.0000
   3.750   1.0619   0.00886   0.00334  -0.1413   0.5420   1.0000
   4.000   1.0874   0.00900   0.00350  -0.1409   0.5347   1.0000
   4.250   1.1122   0.00922   0.00367  -0.1404   0.5281   1.0000
   4.500   1.1375   0.00935   0.00385  -0.1399   0.5212   1.0000
   4.750   1.1623   0.00957   0.00403  -0.1394   0.5149   1.0000
   5.000   1.1874   0.00972   0.00423  -0.1389   0.5082   1.0000
   5.250   1.2113   0.00996   0.00443  -0.1382   0.5004   1.0000
   5.500   1.2345   0.01011   0.00461  -0.1373   0.4896   1.0000
   5.750   1.2555   0.01032   0.00478  -0.1360   0.4740   1.0000
   6.000   1.2756   0.01054   0.00497  -0.1345   0.4549   1.0000
