  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 8-H-12 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0769   0.01102   0.00322   0.0045   0.5541   0.0460
  -1.750  -0.0500   0.01079   0.00294   0.0048   0.5493   0.0511
  -1.500  -0.0231   0.01053   0.00274   0.0051   0.5445   0.0644
  -1.250   0.0032   0.01017   0.00254   0.0055   0.5395   0.1077
  -1.000   0.0281   0.00970   0.00240   0.0059   0.5351   0.2075
  -0.500   0.0602   0.00758   0.00218   0.0103   0.5265   0.7397
  -0.250   0.1368   0.00738   0.00247   0.0009   0.5208   0.9459
   0.000   0.1826   0.00769   0.00269  -0.0024   0.5164   0.9703
   0.250   0.2385   0.00793   0.00284  -0.0079   0.5116   0.9842
   0.500   0.2991   0.00807   0.00287  -0.0147   0.5069   0.9943
   0.750   0.3502   0.00807   0.00276  -0.0196   0.5028   1.0000
   1.000   0.3757   0.00806   0.00274  -0.0192   0.4991   1.0000
   1.250   0.4013   0.00808   0.00272  -0.0188   0.4953   1.0000
   1.500   0.4269   0.00812   0.00271  -0.0184   0.4920   1.0000
   1.750   0.4525   0.00821   0.00272  -0.0181   0.4889   1.0000
   2.000   0.4785   0.00824   0.00276  -0.0177   0.4860   1.0000
   2.250   0.5045   0.00828   0.00280  -0.0174   0.4828   1.0000
   2.500   0.5306   0.00834   0.00283  -0.0171   0.4796   1.0000
   2.750   0.5566   0.00841   0.00287  -0.0168   0.4766   1.0000
   3.000   0.5826   0.00854   0.00294  -0.0165   0.4737   1.0000
   3.250   0.6089   0.00860   0.00304  -0.0163   0.4712   1.0000
   3.500   0.6352   0.00867   0.00313  -0.0160   0.4682   1.0000
   3.750   0.6614   0.00875   0.00322  -0.0158   0.4653   1.0000
   4.000   0.6876   0.00885   0.00331  -0.0155   0.4626   1.0000
   4.250   0.7136   0.00901   0.00343  -0.0152   0.4600   1.0000
   4.500   0.7398   0.00912   0.00359  -0.0150   0.4573   1.0000
   4.750   0.7661   0.00921   0.00373  -0.0148   0.4543   1.0000
   5.000   0.7923   0.00928   0.00382  -0.0145   0.4502   1.0000
   5.250   0.8182   0.00939   0.00391  -0.0142   0.4459   1.0000
   5.500   0.8444   0.00950   0.00407  -0.0140   0.4417   1.0000
   5.750   0.8705   0.00951   0.00412  -0.0137   0.4351   1.0000
   6.000   0.8964   0.00959   0.00420  -0.0135   0.4280   1.0000
