  
       XFOIL         Version 6.99
  
 Calculated polar for: N-9                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2353   0.00641   0.00157  -0.0658   0.7868   0.6087
  -1.750   0.2558   0.00585   0.00157  -0.0639   0.7645   0.8035
  -1.500   0.2913   0.00564   0.00157  -0.0646   0.7444   0.9828
  -1.250   0.3279   0.00577   0.00153  -0.0665   0.7255   1.0000
  -1.000   0.3539   0.00589   0.00152  -0.0660   0.7095   1.0000
  -0.750   0.3801   0.00601   0.00153  -0.0656   0.6946   1.0000
  -0.500   0.4064   0.00612   0.00155  -0.0652   0.6803   1.0000
  -0.250   0.4330   0.00622   0.00157  -0.0648   0.6673   1.0000
   0.000   0.4597   0.00632   0.00160  -0.0645   0.6548   1.0000
   0.250   0.4864   0.00642   0.00164  -0.0642   0.6403   1.0000
   0.500   0.5131   0.00652   0.00167  -0.0639   0.6230   1.0000
   0.750   0.5397   0.00663   0.00171  -0.0636   0.6041   1.0000
   1.000   0.5663   0.00675   0.00177  -0.0634   0.5841   1.0000
   1.250   0.5926   0.00690   0.00182  -0.0630   0.5565   1.0000
   1.500   0.6182   0.00712   0.00189  -0.0626   0.5171   1.0000
   1.750   0.6429   0.00745   0.00200  -0.0620   0.4647   1.0000
   2.000   0.6674   0.00786   0.00217  -0.0615   0.4171   1.0000
   2.250   0.6926   0.00821   0.00236  -0.0611   0.3835   1.0000
   2.500   0.7184   0.00850   0.00255  -0.0609   0.3601   1.0000
   2.750   0.7444   0.00877   0.00274  -0.0606   0.3403   1.0000
   3.250   0.7965   0.00930   0.00315  -0.0602   0.3008   1.0000
   3.500   0.8222   0.00961   0.00336  -0.0599   0.2734   1.0000
   3.750   0.8467   0.01007   0.00360  -0.0595   0.2231   1.0000
   4.000   0.8671   0.01106   0.00412  -0.0587   0.1374   1.0000
   4.250   0.8914   0.01156   0.00454  -0.0582   0.1239   1.0000
   4.500   0.9163   0.01197   0.00495  -0.0578   0.1171   1.0000
   4.750   0.9413   0.01235   0.00537  -0.0575   0.1120   1.0000
   5.000   0.9646   0.01294   0.00593  -0.0569   0.1053   1.0000
   5.250   0.9907   0.01315   0.00620  -0.0568   0.1007   1.0000
   5.500   1.0153   0.01355   0.00661  -0.0564   0.0953   1.0000
   5.750   1.0392   0.01402   0.00712  -0.0560   0.0906   1.0000
   6.000   1.0652   0.01422   0.00738  -0.0559   0.0863   1.0000
