  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0010-35                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2990   0.00860   0.00491   0.0166   0.9580   0.8918
  -1.750  -0.2796   0.00884   0.00514   0.0188   0.9532   0.9095
  -1.500  -0.2481   0.00925   0.00550   0.0185   0.9513   0.9244
  -1.000  -0.1686   0.01009   0.00625   0.0137   0.9503   0.9394
  -0.750  -0.1330   0.01028   0.00640   0.0119   0.9491   0.9457
  -0.500  -0.0898   0.01042   0.00651   0.0082   0.9488   0.9467
  -0.250  -0.0444   0.01056   0.00663   0.0040   0.9487   0.9476
   0.000   0.0001   0.01063   0.00669  -0.0000   0.9484   0.9484
   0.250   0.0444   0.01056   0.00663  -0.0040   0.9476   0.9487
   0.500   0.0897   0.01042   0.00651  -0.0082   0.9467   0.9488
   0.750   0.1330   0.01028   0.00640  -0.0119   0.9457   0.9491
   1.000   0.1681   0.01010   0.00627  -0.0136   0.9396   0.9504
   1.250   0.2130   0.00963   0.00584  -0.0172   0.9344   0.9501
   1.500   0.2480   0.00925   0.00550  -0.0184   0.9244   0.9513
   1.750   0.2795   0.00884   0.00514  -0.0188   0.9097   0.9532
   2.000   0.2991   0.00859   0.00491  -0.0166   0.8919   0.9580
   2.250   0.3318   0.00842   0.00476  -0.0175   0.8643   0.9590
   2.500   0.3608   0.00845   0.00448  -0.0172   0.7620   0.9600
   2.750   0.3690   0.01012   0.00471  -0.0133   0.4300   0.9628
   3.000   0.3783   0.01195   0.00518  -0.0105   0.0980   0.9668
   3.250   0.3995   0.01269   0.00565  -0.0094   0.0317   0.9699
   3.500   0.4301   0.01324   0.00623  -0.0103   0.0201   0.9711
   3.750   0.4573   0.01408   0.00718  -0.0103   0.0168   0.9727
   4.000   0.4835   0.01491   0.00810  -0.0101   0.0150   0.9747
   4.250   0.5080   0.01553   0.00879  -0.0095   0.0127   0.9775
   4.500   0.5322   0.01665   0.01001  -0.0088   0.0119   0.9796
   4.750   0.5618   0.01849   0.01206  -0.0088   0.0120   0.9800
