  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012-64 a=0.8 c(li)=0.2                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0236   0.01125   0.00465  -0.0434   0.9150   0.0298
  -1.750   0.0447   0.01087   0.00426  -0.0419   0.9080   0.0326
  -1.500   0.0714   0.01054   0.00390  -0.0415   0.9032   0.0368
  -1.250   0.0961   0.01010   0.00341  -0.0407   0.8984   0.0427
  -1.000   0.1204   0.00988   0.00314  -0.0399   0.8925   0.0515
  -0.750   0.1458   0.00943   0.00290  -0.0394   0.8884   0.1445
  -0.500   0.1646   0.00872   0.00274  -0.0378   0.8826   0.3230
  -0.250   0.1706   0.00734   0.00256  -0.0335   0.8761   0.6620
   0.000   0.1891   0.00668   0.00255  -0.0312   0.8713   0.8242
   1.000   0.3752   0.00757   0.00357  -0.0462   0.8431   0.9683
   1.250   0.4160   0.00759   0.00355  -0.0490   0.8310   0.9720
   1.500   0.4458   0.00765   0.00355  -0.0493   0.8138   0.9779
   1.750   0.4875   0.00764   0.00346  -0.0523   0.7930   0.9809
   2.000   0.5245   0.00770   0.00347  -0.0544   0.7726   0.9856
   2.250   0.5649   0.00772   0.00344  -0.0573   0.7541   0.9893
   2.500   0.6054   0.00777   0.00342  -0.0603   0.7314   0.9935
   2.750   0.6465   0.00782   0.00336  -0.0634   0.6984   0.9972
   3.000   0.6818   0.00803   0.00333  -0.0653   0.6348   1.0000
   3.250   0.7011   0.00850   0.00342  -0.0637   0.5519   1.0000
   3.500   0.7194   0.00911   0.00364  -0.0621   0.4696   1.0000
   3.750   0.7364   0.00984   0.00392  -0.0604   0.3707   1.0000
   4.000   0.7538   0.01055   0.00422  -0.0588   0.2864   1.0000
   4.250   0.7727   0.01110   0.00451  -0.0574   0.2306   1.0000
   4.750   0.8118   0.01201   0.00506  -0.0547   0.1505   1.0000
   5.000   0.8309   0.01249   0.00536  -0.0533   0.1157   1.0000
   5.250   0.8495   0.01299   0.00571  -0.0518   0.0877   1.0000
   5.500   0.8677   0.01350   0.00612  -0.0501   0.0670   1.0000
   5.750   0.8865   0.01395   0.00652  -0.0485   0.0582   1.0000
   6.000   0.9058   0.01433   0.00693  -0.0470   0.0552   1.0000
