  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 16009                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.3030   0.00804   0.00443   0.0168   0.9707   0.8882
  -1.750  -0.2827   0.00814   0.00451   0.0187   0.9660   0.9091
  -1.500  -0.2524   0.00837   0.00472   0.0184   0.9637   0.9244
  -1.250  -0.2205   0.00858   0.00489   0.0177   0.9620   0.9351
  -1.000  -0.1779   0.00930   0.00557   0.0152   0.9625   0.9497
  -0.750  -0.1277   0.00989   0.00612   0.0107   0.9642   0.9590
  -0.500  -0.0819   0.01002   0.00622   0.0065   0.9643   0.9602
  -0.250  -0.0404   0.01006   0.00625   0.0031   0.9635   0.9613
   0.000  -0.0000   0.01007   0.00625   0.0000   0.9624   0.9624
   0.250   0.0403   0.01006   0.00625  -0.0031   0.9613   0.9635
   0.500   0.0819   0.01002   0.00622  -0.0065   0.9602   0.9643
   0.750   0.1276   0.00988   0.00612  -0.0107   0.9590   0.9642
   1.000   0.1775   0.00931   0.00557  -0.0152   0.9498   0.9626
   1.250   0.2204   0.00858   0.00489  -0.0176   0.9351   0.9620
   1.500   0.2523   0.00838   0.00473  -0.0184   0.9246   0.9638
   1.750   0.2825   0.00814   0.00452  -0.0186   0.9092   0.9660
   2.000   0.3029   0.00804   0.00443  -0.0167   0.8882   0.9707
   2.250   0.3349   0.00787   0.00418  -0.0173   0.8383   0.9717
   2.500   0.3526   0.00893   0.00405  -0.0147   0.5501   0.9730
   2.750   0.3710   0.01062   0.00439  -0.0139   0.2231   0.9749
   3.000   0.3974   0.01140   0.00464  -0.0143   0.0946   0.9768
   3.250   0.4229   0.01219   0.00513  -0.0141   0.0240   0.9793
   3.500   0.4454   0.01264   0.00564  -0.0131   0.0195   0.9830
   3.750   0.4762   0.01327   0.00636  -0.0139   0.0177   0.9839
   4.000   0.5051   0.01417   0.00740  -0.0143   0.0169   0.9851
   4.250   0.5323   0.01543   0.00878  -0.0143   0.0155   0.9861
   4.500   0.5616   0.01627   0.00974  -0.0147   0.0148   0.9873
   4.750   0.5905   0.01754   0.01117  -0.0148   0.0140   0.9884
   5.000   0.6183   0.01968   0.01358  -0.0144   0.0141   0.9894
   5.250   0.6446   0.02281   0.01700  -0.0135   0.0167   0.9903
