  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0786   0.00725   0.00218  -0.0126   0.8216   0.4984
  -1.750  -0.0558   0.00688   0.00209  -0.0114   0.7986   0.5936
  -1.500  -0.0320   0.00666   0.00203  -0.0102   0.7746   0.6622
  -1.250  -0.0077   0.00654   0.00200  -0.0092   0.7493   0.7159
  -0.750   0.0419   0.00647   0.00199  -0.0071   0.6973   0.8003
  -0.500   0.0671   0.00650   0.00200  -0.0061   0.6712   0.8327
  -0.250   0.0921   0.00657   0.00204  -0.0050   0.6434   0.8619
   0.000   0.1175   0.00668   0.00209  -0.0041   0.6155   0.8861
   0.250   0.1426   0.00683   0.00217  -0.0030   0.5890   0.9101
   0.750   0.1946   0.00722   0.00234  -0.0014   0.5327   0.9453
   1.000   0.2260   0.00743   0.00242  -0.0019   0.5033   0.9531
   1.250   0.2565   0.00765   0.00249  -0.0023   0.4751   0.9616
   1.500   0.2913   0.00789   0.00258  -0.0037   0.4444   0.9673
   1.750   0.3246   0.00814   0.00268  -0.0048   0.4143   0.9737
   2.000   0.3638   0.00840   0.00278  -0.0073   0.3846   0.9765
   2.250   0.4013   0.00865   0.00288  -0.0094   0.3566   0.9803
   2.500   0.4366   0.00889   0.00299  -0.0111   0.3322   0.9850
   2.750   0.4754   0.00912   0.00310  -0.0135   0.3111   0.9875
   3.000   0.5129   0.00935   0.00322  -0.0157   0.2939   0.9909
   3.250   0.5495   0.00956   0.00335  -0.0177   0.2797   0.9945
   3.500   0.5881   0.00973   0.00345  -0.0201   0.2679   0.9969
   3.750   0.6259   0.00992   0.00359  -0.0224   0.2577   0.9996
   4.000   0.6511   0.01009   0.00370  -0.0221   0.2496   1.0000
   4.250   0.6741   0.01023   0.00383  -0.0212   0.2431   1.0000
   4.500   0.6969   0.01039   0.00396  -0.0203   0.2364   1.0000
   4.750   0.7193   0.01059   0.00413  -0.0193   0.2304   1.0000
   5.000   0.7423   0.01072   0.00427  -0.0184   0.2247   1.0000
   5.250   0.7644   0.01095   0.00445  -0.0174   0.2189   1.0000
   5.500   0.7871   0.01113   0.00464  -0.0164   0.2139   1.0000
   5.750   0.8100   0.01129   0.00482  -0.0155   0.2085   1.0000
   6.000   0.8318   0.01158   0.00505  -0.0144   0.2031   1.0000
