  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2432   0.00906   0.00272  -0.0980   0.7288   0.2699
  -1.750   0.2665   0.00900   0.00266  -0.0969   0.7182   0.2886
  -1.500   0.2897   0.00894   0.00261  -0.0958   0.7073   0.3088
  -1.250   0.3119   0.00887   0.00258  -0.0945   0.6959   0.3308
  -0.750   0.3563   0.00873   0.00251  -0.0919   0.6740   0.3884
  -0.500   0.3768   0.00860   0.00251  -0.0902   0.6630   0.4330
   0.000   0.4133   0.00823   0.00255  -0.0860   0.6422   0.5867
   0.250   0.4304   0.00806   0.00260  -0.0836   0.6321   0.6647
   0.500   0.4478   0.00794   0.00265  -0.0811   0.6226   0.7362
   0.750   0.4678   0.00777   0.00273  -0.0791   0.6127   0.8142
   1.000   0.5377   0.00783   0.00297  -0.0880   0.6013   0.9118
   1.250   0.6142   0.00812   0.00317  -0.0985   0.5894   0.9437
   1.500   0.6565   0.00833   0.00333  -0.1014   0.5787   0.9616
   1.750   0.6934   0.00855   0.00349  -0.1033   0.5691   0.9763
   2.000   0.7339   0.00878   0.00362  -0.1059   0.5587   0.9865
   2.250   0.7774   0.00896   0.00376  -0.1093   0.5489   0.9938
   2.500   0.8245   0.00912   0.00382  -0.1136   0.5391   0.9992
   2.750   0.8481   0.00920   0.00388  -0.1128   0.5300   1.0000
   3.000   0.8653   0.00934   0.00394  -0.1106   0.5227   1.0000
   3.250   0.8834   0.00942   0.00402  -0.1086   0.5143   1.0000
   3.500   0.9003   0.00957   0.00409  -0.1063   0.5056   1.0000
   3.750   0.9178   0.00967   0.00418  -0.1042   0.4961   1.0000
   4.000   0.9347   0.00982   0.00427  -0.1019   0.4868   1.0000
   4.250   0.9523   0.00995   0.00438  -0.0998   0.4783   1.0000
   4.500   0.9703   0.01010   0.00450  -0.0977   0.4711   1.0000
   4.750   0.9880   0.01024   0.00462  -0.0956   0.4628   1.0000
   5.000   1.0053   0.01041   0.00475  -0.0934   0.4556   1.0000
   5.250   1.0226   0.01054   0.00488  -0.0912   0.4475   1.0000
   5.500   1.0371   0.01072   0.00502  -0.0885   0.4402   1.0000
   5.750   1.0528   0.01085   0.00515  -0.0859   0.4320   1.0000
   6.000   1.0674   0.01105   0.00531  -0.0832   0.4246   1.0000
